timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1774198770303,KU7oZPSAsCN5D4LoAAAH,657,0,0.0000,0,0,300000
1774198768312,OZR11ES4DQze9r4tAAAJ,504,0,0,0,0,300000
1774198770797,KU7oZPSAsCN5D4LoAAAH,657,0,0.0000,137059,284439,300000
1774198771293,KU7oZPSAsCN5D4LoAAAH,0,1,0.0000,171089,312939,0
1774198768813,OZR11ES4DQze9r4tAAAJ,504,0,0,0,305683,300000
1774198771793,KU7oZPSAsCN5D4LoAAAH,0,49,0.0000,273690,305124,0
1774198769313,OZR11ES4DQze9r4tAAAJ,504,0,0,0,312568,300000
1774198772293,KU7oZPSAsCN5D4LoAAAH,0,49,0.0000,140745,312848,0
1774198769813,OZR11ES4DQze9r4tAAAJ,504,0,0.0000,265076,420658,620294
1774198772897,KU7oZPSAsCN5D4LoAAAH,0,94,0.0000,376625,326377,0
1774198770313,OZR11ES4DQze9r4tAAAJ,0,5,0.0000,313325,527913,0
1774198773900,KU7oZPSAsCN5D4LoAAAH,2228,115,0.0000,245540,514406,1797454
1774198771314,OZR11ES4DQze9r4tAAAJ,0,95,0.0000,340933,517599,0
1774198770812,OZR11ES4DQze9r4tAAAJ,0,48,0.0000,239882,416661,0
1774198771813,OZR11ES4DQze9r4tAAAJ,0,124,0.0000,311942,472108,0
1774198774901,KU7oZPSAsCN5D4LoAAAH,2228,131,0.0000,173242,0,1437963
1774198772314,OZR11ES4DQze9r4tAAAJ,0,133,0.0000,448469,349078,0
1774198772812,OZR11ES4DQze9r4tAAAJ,2351,133,0.0063,791468,245110,147135
1774198774812,OZR11ES4DQze9r4tAAAJ,2351,162,0.0056,267310,99637,94166
1774198774316,OZR11ES4DQze9r4tAAAJ,2351,133,0.0061,0,164806,94166
1774198773313,OZR11ES4DQze9r4tAAAJ,2351,133,0.0061,69692,235572,117708
1774198773813,OZR11ES4DQze9r4tAAAJ,2351,133,0.0061,0,183335,117708
1774198775812,OZR11ES4DQze9r4tAAAJ,0,207,0.1488,212148,50931,0
1774198775312,OZR11ES4DQze9r4tAAAJ,0,162,0.0051,300671,98835,0
1774198776812,OZR11ES4DQze9r4tAAAJ,0,192,0.3924,302672,122241,0
1774198776314,OZR11ES4DQze9r4tAAAJ,0,205,0.2441,299734,103872,0
1774198776293,KU7oZPSAsCN5D4LoAAAH,0,160,0.1852,44295,1747165,0
1774198775899,KU7oZPSAsCN5D4LoAAAH,0,160,0.1792,409732,451549,0
1774198777312,OZR11ES4DQze9r4tAAAJ,0,160,0.6549,265495,172762,0
1774198777813,OZR11ES4DQze9r4tAAAJ,0,148,0.7134,300902,200035,0
1774198778312,OZR11ES4DQze9r4tAAAJ,0,155,0.7209,283366,200821,0
1774198778813,OZR11ES4DQze9r4tAAAJ,0,143,0.7940,263575,151956,0
1774198776800,KU7oZPSAsCN5D4LoAAAH,0,151,0.2009,118995,4471227,0
1774198779313,OZR11ES4DQze9r4tAAAJ,1016.9999999999999,174,0.7987,265877,203958,72241
1774198779812,OZR11ES4DQze9r4tAAAJ,1016.9999999999999,223,0.8059,300579,215511,72241
1774198780322,OZR11ES4DQze9r4tAAAJ,1016.9999999999999,306,0.8127,259878,168799,72241
1774198780816,OZR11ES4DQze9r4tAAAJ,0,294,0.8230,233465,155897,0
1774198781313,OZR11ES4DQze9r4tAAAJ,0,274,0.8287,282561,119377,0
1774198781813,OZR11ES4DQze9r4tAAAJ,0,211,0.8381,249136,100032,0
1774198782313,OZR11ES4DQze9r4tAAAJ,0,177,0.8369,250042,98514,0
1774198782816,OZR11ES4DQze9r4tAAAJ,0,339,0.8323,244688,66737,0
1774198783313,OZR11ES4DQze9r4tAAAJ,0,339,0.8271,284537,82761,0
1774198783813,OZR11ES4DQze9r4tAAAJ,0,339,0.8215,299600,81262,0
1774198777298,KU7oZPSAsCN5D4LoAAAH,0,279,0.2243,473168,5853533,0
1774198779293,KU7oZPSAsCN5D4LoAAAH,0,294,0.2100,166848,5377311,0
1774198778294,KU7oZPSAsCN5D4LoAAAH,0,279,0.2103,188334,8308995,0
1774198778793,KU7oZPSAsCN5D4LoAAAH,0,294,0.2168,216492,7809787,0
1774198777793,KU7oZPSAsCN5D4LoAAAH,0,279,0.2186,122400,6330732,0
1774198784314,OZR11ES4DQze9r4tAAAJ,1169,339,0.8167,262101,66446,72241
1774198784814,OZR11ES4DQze9r4tAAAJ,1169,339,0.8123,244666,82010,72241
1774198781293,KU7oZPSAsCN5D4LoAAAH,0,463,0.1846,172162,5449863,0
1774198779803,KU7oZPSAsCN5D4LoAAAH,0,297,0.2049,134099,5127284,0
1774198780795,KU7oZPSAsCN5D4LoAAAH,0,463,0.1898,216696,4951348,0
1774198780300,KU7oZPSAsCN5D4LoAAAH,0,297,0.1971,221559,5003164,0
