timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1774090011729,p7xhlzblkrXZb2Z_AAAC,133,0,0.0000,0,0,1722086
1774090010439,-WDotLHKyxo5QpiMAAAD,137,14,0.0000,0,0,1812047
1774090012226,p7xhlzblkrXZb2Z_AAAC,133,16,0.0000,756345,1069137,3708307
1774090012719,p7xhlzblkrXZb2Z_AAAC,127,28,0.0000,1907799,1488310,3708307
1774090010937,-WDotLHKyxo5QpiMAAAD,167,27,0.0068,1575526,1785144,3659076
1774090011439,-WDotLHKyxo5QpiMAAAD,167,32,0.0044,1408107,1395788,3659076
1774090013216,p7xhlzblkrXZb2Z_AAAC,127,33,0.0000,1270791,1410380,3708307
1774090011939,-WDotLHKyxo5QpiMAAAD,128,36,0.0032,1444753,1444657,3659076
1774090013715,p7xhlzblkrXZb2Z_AAAC,132,39,0.0000,1324924,1438666,3708307
1774090012439,-WDotLHKyxo5QpiMAAAD,128,40,0.0026,1285911,1127268,3659076
1774090014216,p7xhlzblkrXZb2Z_AAAC,132,40,0.0000,1438523,1457463,3708307
1774090014733,p7xhlzblkrXZb2Z_AAAC,132,39,0.0000,696433,3810470,3708307
1774090013249,-WDotLHKyxo5QpiMAAAD,128,64,0.0015,3224956,673311,3659076
1774090015230,p7xhlzblkrXZb2Z_AAAC,132,39,0.0000,0,2065723,3836188
1774090015723,p7xhlzblkrXZb2Z_AAAC,132,39,0.0000,0,1556959,4006240
1774090014287,-WDotLHKyxo5QpiMAAAD,128,34,0.0011,1690259,0,3659076
1774090016218,p7xhlzblkrXZb2Z_AAAC,132,43,0.0000,964522,2061916,4006240
1774090016715,p7xhlzblkrXZb2Z_AAAC,130,43,0.0000,88829,1568796,4006240
1774090015258,-WDotLHKyxo5QpiMAAAD,139,22,0.0018,1742127,538273,3659076
1774090017216,p7xhlzblkrXZb2Z_AAAC,130,58,0.0000,468989,1306966,4006240
1774090017737,p7xhlzblkrXZb2Z_AAAC,130,58,0.0000,0,1264431,4006240
1774090016263,-WDotLHKyxo5QpiMAAAD,139,14,0.0016,1404529,233573,3698243
1774090018231,p7xhlzblkrXZb2Z_AAAC,130,57,0.0000,750377,2078978,4006240
1774090018727,p7xhlzblkrXZb2Z_AAAC,130,57,0.0000,0,1979467,4006240
1774090019715,p7xhlzblkrXZb2Z_AAAC,125,60,0.0000,0,2068764,4006240
1774090019221,p7xhlzblkrXZb2Z_AAAC,125,60,0.0000,1927436,2026950,4006240
1774090017253,-WDotLHKyxo5QpiMAAAD,128,9,0.0013,2145041,375430,3698243
