timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1774170486954,3TKF5zi2HM4VPcgjAAAD,235,0,0,0,0,300000
1774170487556,uEwY3W3xpV2PZuFnAAAB,148,0,0,0,0,300000
1774170488057,uEwY3W3xpV2PZuFnAAAB,148,0,0.0000,193697,238446,300000
1774170488568,uEwY3W3xpV2PZuFnAAAB,148,0,0.0000,69020,411895,741332
1774170487445,3TKF5zi2HM4VPcgjAAAD,235,0,0.0000,190330,306574,301000
1774170489064,uEwY3W3xpV2PZuFnAAAB,148,6,0.0000,175712,598718,741332
1774170489556,uEwY3W3xpV2PZuFnAAAB,148,6,0.0000,141156,507964,741332
1774170487943,3TKF5zi2HM4VPcgjAAAD,235,4,0.0000,242412,315170,306762
1774170490057,uEwY3W3xpV2PZuFnAAAB,0,52,0.0000,174038,589440,0
1774170488437,3TKF5zi2HM4VPcgjAAAD,235,46,0.0000,532461,320867,315329
1774170488937,3TKF5zi2HM4VPcgjAAAD,235,73,0.0000,459990,345425,315329
1774170490557,uEwY3W3xpV2PZuFnAAAB,0,61,0.0000,451713,640812,0
1774170489430,3TKF5zi2HM4VPcgjAAAD,0,95,0.0083,629388,68648,0
1774170489931,3TKF5zi2HM4VPcgjAAAD,0,105,0.0068,451959,0,0
1774170491463,uEwY3W3xpV2PZuFnAAAB,1646,61,0.0000,93512,381868,733878
1774170490452,3TKF5zi2HM4VPcgjAAAD,0,125,0.0051,817595,268388,0
1774170490947,3TKF5zi2HM4VPcgjAAAD,0,125,0.0045,491645,88044,0
1774170491440,3TKF5zi2HM4VPcgjAAAD,1663,125,0.0044,0,0,342729
1774170491935,3TKF5zi2HM4VPcgjAAAD,1268,125,0.0041,173643,34729,342729
1774170492430,3TKF5zi2HM4VPcgjAAAD,1268,125,0.0038,345602,371975,342729
1774170492931,3TKF5zi2HM4VPcgjAAAD,1268,127,0.0139,399314,365234,342729
1774170492462,uEwY3W3xpV2PZuFnAAAB,1250,152,0.0000,182661,325151,825580
1774170493431,3TKF5zi2HM4VPcgjAAAD,0,127,0.0122,726907,249754,0
1774170493464,uEwY3W3xpV2PZuFnAAAB,0,206,0.0368,241633,796564,0
1774170494445,3TKF5zi2HM4VPcgjAAAD,1081,127,0.0111,0,84973,344304
1774170493949,3TKF5zi2HM4VPcgjAAAD,0,127,0.0111,503185,322730,0
1774170495931,3TKF5zi2HM4VPcgjAAAD,1081,127,0.0135,159457,359717,344304
1774170495434,3TKF5zi2HM4VPcgjAAAD,1081,127,0.0111,0,101576,344304
1774170494939,3TKF5zi2HM4VPcgjAAAD,1081,127,0.0111,0,16761,344304
1774170495464,uEwY3W3xpV2PZuFnAAAB,1043,222,0.0532,151360,0,453227
1774170494467,uEwY3W3xpV2PZuFnAAAB,0,222,0.0588,239943,34886,0
1774170496431,3TKF5zi2HM4VPcgjAAAD,0,127,0.0201,440810,328630,0
1774170496465,uEwY3W3xpV2PZuFnAAAB,0,254,0.0539,126012,483576,0
1774170496952,3TKF5zi2HM4VPcgjAAAD,0,127,0.0302,474540,168411,0
1774170497942,3TKF5zi2HM4VPcgjAAAD,0,127,0.0398,584521,335821,0
1774170497460,uEwY3W3xpV2PZuFnAAAB,1018,277,0.0625,277549,679070,644272
1774170497446,3TKF5zi2HM4VPcgjAAAD,0,127,0.0343,593267,387281,0
1774170498435,3TKF5zi2HM4VPcgjAAAD,0,127,0.0409,182372,371090,0
1774170498934,3TKF5zi2HM4VPcgjAAAD,0,263,0.0416,246520,369000,0
1774170500449,3TKF5zi2HM4VPcgjAAAD,1055,263,0.0487,477477,305069,375196
1774170499430,3TKF5zi2HM4VPcgjAAAD,0,263,0.0491,618238,329656,0
1774170499930,3TKF5zi2HM4VPcgjAAAD,0,263,0.0510,628972,394805,0
1774170498461,uEwY3W3xpV2PZuFnAAAB,1018,252,0.0696,251255,224312,644272
