scenario,ab_group,traces,clients,duration_s_mean,recv_bps_mean,rtt_ms_p95_mean,loss_rate_mean,jitter_ms_p95_mean,cap_bps_mean,cap_delta_bps_mean,qoe_score_mean
3g,gcc,10,20,249.5,362613.8704,469.546,0.014038619999999998,87.1455,395400.3489,24942.4744,-0.14754806819070346
3g,rl,10,20,249.5,349369.94639999996,411.2085,0.01135713,79.61375,364094.97239999997,6701.9421,-0.09350991974925947
baseline,gcc,10,20,249.5,2840133.0893,52.86624999999998,0.008177750000000001,20.7335,3105517.4274,38240.822499999995,1.2573299269789942
baseline,rl,10,20,249.5,2323608.1355,52.86624999999998,0.008177750000000001,20.7335,2575867.0982,21935.7155,1.120458600254773
dsl,gcc,10,20,249.5,1929539.943,385.50525,0.00946704,189.47199999999998,2113936.1673,36240.0012,0.6406151453384151
dsl,rl,10,20,249.5,1775191.2901,358.3345,0.00861336,190.31674999999998,1888054.8541,18095.724,0.6214658302794478
fluctuating,gcc,10,20,249.5,2510839.5206,64.35725,0.009260019999999999,51.28275,2740900.0482,40092.331099999996,1.1674090942404098
fluctuating,rl,10,20,249.5,2303216.3821,60.225249999999996,0.00842,51.35625,2448834.9254,21625.6705,1.1151560083201302
high_delay,gcc,10,20,249.5,335323.362,542.6229999999999,0.02222792,28.774249999999995,366012.9336,20661.7809,-0.26693554145484877
high_delay,rl,10,20,249.5,323126.07999999996,478.53875,0.018011569999999998,27.03775,336814.852,6077.6584,-0.19969407328073663
high_loss,gcc,10,20,249.5,385821.47630000004,195.63349999999997,0.02578992,787.381,420642.2774,24530.949,0.10310605636445487
high_loss,rl,10,20,249.5,371521.79990000004,172.79174999999998,0.020887179999999998,723.8389999999999,386752.51159999997,7161.6538,0.12100621650533964
low_bw,gcc,10,20,249.5,449327.54630000005,508.0665,0.018749870000000002,203.6995,491169.31320000003,28435.5366,-0.13261604554725873
low_bw,rl,10,20,249.5,435097.7635,446.23425,0.015183440000000001,186.86624999999998,452288.37470000004,7742.9992,-0.07109089728905722
lte,gcc,10,20,249.5,276877.53870000003,1410.06425,0.01705693,91.13674999999999,302544.7146,19919.1689,-1.1150720709981667
lte,rl,10,20,249.5,267001.41890000005,1257.50375,0.01381289,83.5855,278253.5689,5305.5466,-0.9262244176327442
very_bad,gcc,10,20,249.5,1336434.3731,1092.6125,0.01127576,603.9185,1461592.5671,33709.7354,-0.15032821248862424
very_bad,rl,10,20,249.5,1021669.3918999999,915.091,0.00844152,515.8957499999999,1074980.5613,13495.062,-0.09538683499279868
