scenario,unit,metric,method,alternative,n_gcc,n_rl,mean_gcc,mean_rl,diff_rl_minus_gcc,statistic,dof,p_value,p_value_bh
3g,trace,cap_delta_bps_mean,permutation,two-sided,10,10,24942.4744,6701.9421,-18240.5323,-18240.5323,,5e-05,0.0003375
3g,trace,jitter_ms_p95,permutation,two-sided,10,10,87.1455,79.61375000000001,-7.531749999999988,-7.531749999999988,,0.31485,0.6223500000000001
3g,trace,loss_rate_mean,permutation,two-sided,10,10,0.014038619999999979,0.011357129999999983,-0.0026814899999999964,-0.0026814899999999964,,0.43035,0.6834970588235294
3g,trace,qoe_score_mean,permutation,two-sided,10,10,-0.14754806819070343,-0.09350991974925946,0.05403814844144397,0.05403814844144397,,0.46235,0.693525
3g,trace,recv_bps_mean,permutation,two-sided,10,10,362613.8704,349369.9464,-13243.923999999999,-13243.923999999999,,0.91335,1.0
3g,trace,rtt_ms_p95,permutation,two-sided,10,10,469.54599999999994,411.2085,-58.33749999999992,-58.33749999999992,,0.0355,0.12285
baseline,trace,cap_delta_bps_mean,permutation,two-sided,10,10,38240.822499999995,21935.7155,-16305.106999999996,-16305.106999999996,,5e-05,0.0003375
baseline,trace,jitter_ms_p95,permutation,two-sided,10,10,20.7335,20.7335,0.0,0.0,,1.0,1.0
baseline,trace,loss_rate_mean,permutation,two-sided,10,10,0.008177749999999975,0.008177749999999975,0.0,0.0,,1.0,1.0
baseline,trace,qoe_score_mean,permutation,two-sided,10,10,1.257329926978994,1.120458600254773,-0.13687132672422098,-0.13687132672422098,,0.13255,0.357885
baseline,trace,recv_bps_mean,permutation,two-sided,10,10,2840133.0892999996,2323608.1355000003,-516524.9537999993,-516524.9537999993,,0.06815,0.2164764705882353
baseline,trace,rtt_ms_p95,permutation,two-sided,10,10,52.866249999999965,52.866249999999965,0.0,0.0,,1.0,1.0
dsl,trace,cap_delta_bps_mean,permutation,two-sided,10,10,36240.0012,18095.724,-18144.2772,-18144.2772,,5e-05,0.0003375
dsl,trace,jitter_ms_p95,permutation,two-sided,10,10,189.47199999999998,190.31675,0.8447500000000332,0.8447500000000332,,0.96065,1.0
dsl,trace,loss_rate_mean,permutation,two-sided,10,10,0.009467039999999979,0.008613359999999981,-0.0008536799999999973,-0.0008536799999999973,,0.6038,0.8580315789473685
dsl,trace,qoe_score_mean,permutation,two-sided,10,10,0.6406151453384152,0.6214658302794478,-0.019149315058967442,-0.019149315058967442,,0.8437,1.0
dsl,trace,recv_bps_mean,permutation,two-sided,10,10,1929539.943,1775191.2901,-154348.65289999987,-154348.65289999987,,0.6566,0.8864099999999999
