timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775047903848,kCtNDfGzjn2kbQXlAAAB,38,15,0.0134,0,0,92400
1775047902865,pUGjlmEbcOkSLl-yAAAE,33,16,0.0137,0,0,96603
1775047903365,pUGjlmEbcOkSLl-yAAAE,33,26,0.0137,32256,35027,92400
1775047904850,kCtNDfGzjn2kbQXlAAAB,38,14,0.0134,33184,27282,93980
1775047903864,pUGjlmEbcOkSLl-yAAAE,33,23,0.0137,28209,26202,97175
1775047904365,pUGjlmEbcOkSLl-yAAAE,33,27,0.0137,48700,37429,98807
1775047905844,kCtNDfGzjn2kbQXlAAAB,38,10,0.0134,31613,36885,99114
1775047904864,pUGjlmEbcOkSLl-yAAAE,33,23,0.0137,24432,22523,101762
1775047905364,pUGjlmEbcOkSLl-yAAAE,236,20,0.0137,36044,34971,103601
1775047906854,kCtNDfGzjn2kbQXlAAAB,237,20,0.0134,29018,26600,104311
1775047905864,pUGjlmEbcOkSLl-yAAAE,236,32,0.0137,17059,31748,92400
1775047906367,pUGjlmEbcOkSLl-yAAAE,236,32,0.0137,39400,22808,92921
1775047907854,kCtNDfGzjn2kbQXlAAAB,237,25,0.0134,25489,32579,92400
1775047906865,pUGjlmEbcOkSLl-yAAAE,236,20,0.0137,34374,34294,93977
1775047907369,pUGjlmEbcOkSLl-yAAAE,236,15,0.0137,34017,34415,93977
1775047908844,kCtNDfGzjn2kbQXlAAAB,0,17,0.0134,34521,34141,0
1775047907864,pUGjlmEbcOkSLl-yAAAE,241,13,0.0137,25017,24629,96962
1775047908364,pUGjlmEbcOkSLl-yAAAE,241,16,0.0137,26670,35624,100216
1775047909845,kCtNDfGzjn2kbQXlAAAB,218,18,0.0134,31595,29565,98410
1775047908864,pUGjlmEbcOkSLl-yAAAE,241,15,0.0137,35068,30010,92400
1775047909369,pUGjlmEbcOkSLl-yAAAE,241,16,0.0137,31924,23363,93439
1775047910847,kCtNDfGzjn2kbQXlAAAB,218,10,0.0134,25143,27531,103084
1775047909865,pUGjlmEbcOkSLl-yAAAE,241,13,0.0137,33831,43583,95504
1775047910377,pUGjlmEbcOkSLl-yAAAE,0,13,0.0137,27451,22242,0
1775047911849,kCtNDfGzjn2kbQXlAAAB,221,15,0.0134,35533,36364,107235
1775047910865,pUGjlmEbcOkSLl-yAAAE,255,11,0.0137,34955,43661,100371
1775047911364,pUGjlmEbcOkSLl-yAAAE,255,9,0.0137,27104,13584,102141
1775047912851,kCtNDfGzjn2kbQXlAAAB,221,16,0.0134,32569,27185,113968
1775047911864,pUGjlmEbcOkSLl-yAAAE,255,6,0.0137,31469,36372,105608
1775047912364,pUGjlmEbcOkSLl-yAAAE,255,6,0.0137,43059,26637,108878
1775047913847,kCtNDfGzjn2kbQXlAAAB,221,13,0.0134,27265,38452,120053
1775047912863,pUGjlmEbcOkSLl-yAAAE,255,7,0.0137,36726,35233,110529
1775047913364,pUGjlmEbcOkSLl-yAAAE,231,9,0.0137,41781,33716,113728
1775047914854,kCtNDfGzjn2kbQXlAAAB,265,12,0.0134,29403,42746,126322
1775047913865,pUGjlmEbcOkSLl-yAAAE,231,8,0.0137,43650,32497,117024
1775047914364,pUGjlmEbcOkSLl-yAAAE,231,10,0.0137,48232,28471,120210
1775047915854,kCtNDfGzjn2kbQXlAAAB,265,10,0.0134,37980,42953,132406
1775047914864,pUGjlmEbcOkSLl-yAAAE,231,8,0.0137,38495,50178,121908
1775047915364,pUGjlmEbcOkSLl-yAAAE,231,8,0.0137,55041,37969,125207
1775047916850,kCtNDfGzjn2kbQXlAAAB,0,10,0.0134,36667,60142,0
1775047915864,pUGjlmEbcOkSLl-yAAAE,0,11,0.0137,74018,31607,0
1775047916364,pUGjlmEbcOkSLl-yAAAE,257,9,0.0137,80807,41052,130925
1775047917854,kCtNDfGzjn2kbQXlAAAB,232,10,0.0134,43316,69740,146757
1775047916865,pUGjlmEbcOkSLl-yAAAE,257,8,0.0137,54313,59065,134713
1775047917365,pUGjlmEbcOkSLl-yAAAE,257,16,0.0137,73019,49599,136692
1775047918854,kCtNDfGzjn2kbQXlAAAB,232,13,0.0134,54719,67086,159767
1775047917864,pUGjlmEbcOkSLl-yAAAE,257,13,0.0137,61942,54737,92400
1775047918364,pUGjlmEbcOkSLl-yAAAE,257,11,0.0137,100684,36454,94612
1775047919849,kCtNDfGzjn2kbQXlAAAB,239,26,0.0134,42630,89401,170928
1775047918864,pUGjlmEbcOkSLl-yAAAE,258,12,0.0137,83144,29414,96866
1775047919363,pUGjlmEbcOkSLl-yAAAE,258,10,0.0137,99976,27852,98047
1775047920845,kCtNDfGzjn2kbQXlAAAB,239,20,0.0134,30036,93666,186305
