timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777396248391,-kDGMGgSGeGG-AZCAAAD,0,0,0.0000,0,0,0
1777396248435,3sFShQoxYpjTKpPDAAAB,13,18,0.0000,0,0,302507
1777396248890,-kDGMGgSGeGG-AZCAAAD,428,17,0.0000,377463,454789,0
1777396248936,3sFShQoxYpjTKpPDAAAB,13,17,0.0000,483591,233208,0
1777396249391,-kDGMGgSGeGG-AZCAAAD,9,11,0.0000,152571,904311,1942092
1777396249436,3sFShQoxYpjTKpPDAAAB,13,16,0.0000,1012806,147977,0
1777396249890,-kDGMGgSGeGG-AZCAAAD,9,9,0.0000,167166,1248087,1942092
1777396249936,3sFShQoxYpjTKpPDAAAB,13,13,0.0000,1185971,190715,0
1777396250390,-kDGMGgSGeGG-AZCAAAD,13,9,0.0000,169072,1404995,1942092
1777396250437,3sFShQoxYpjTKpPDAAAB,13,18,0.0036,1442938,145631,0
1777396250889,-kDGMGgSGeGG-AZCAAAD,13,5,0.0000,194432,1321416,2027749
1777396250939,3sFShQoxYpjTKpPDAAAB,13,16,0.0029,1176353,211494,0
1777396251389,-kDGMGgSGeGG-AZCAAAD,9,8,0.0000,199508,1578579,2120336
1777396251435,3sFShQoxYpjTKpPDAAAB,13,16,0.0022,1699816,183318,0
1777396251891,-kDGMGgSGeGG-AZCAAAD,9,10,0.0000,189783,1622851,2170395
1777396251935,3sFShQoxYpjTKpPDAAAB,13,20,0.0018,1565486,213946,0
1777396252391,-kDGMGgSGeGG-AZCAAAD,9,9,0.0000,239680,1668733,2276907
1777396252438,3sFShQoxYpjTKpPDAAAB,13,17,0.0016,1604014,220813,0
1777396252891,-kDGMGgSGeGG-AZCAAAD,9,6,0.0000,238419,1385581,2367286
1777396252934,3sFShQoxYpjTKpPDAAAB,13,12,0.0014,1575291,230845,0
1777396253390,-kDGMGgSGeGG-AZCAAAD,9,4,0.0000,204103,1959674,2470341
1777396253760,3sFShQoxYpjTKpPDAAAB,13,14,0.0011,1882585,243090,0
1777396253889,-kDGMGgSGeGG-AZCAAAD,19,7,0.0000,264201,1881095,2581018
1777396254388,-kDGMGgSGeGG-AZCAAAD,19,5,0.0000,241254,1806980,2642077
1777396254761,3sFShQoxYpjTKpPDAAAB,13,12,0.0009,1517533,242811,0
1777396254889,-kDGMGgSGeGG-AZCAAAD,19,6,0.0000,252156,910882,2720575
1777396255390,-kDGMGgSGeGG-AZCAAAD,19,10,0.0000,321748,2147507,2720575
1777396255761,3sFShQoxYpjTKpPDAAAB,13,35,0.0007,2103608,335126,0
1777396255889,-kDGMGgSGeGG-AZCAAAD,19,14,0.0000,322958,2274442,2784871
1777396256389,-kDGMGgSGeGG-AZCAAAD,19,7,0.0000,346770,1516939,2851807
1777396256761,3sFShQoxYpjTKpPDAAAB,13,16,0.0007,1507705,367788,0
1777396256889,-kDGMGgSGeGG-AZCAAAD,428,14,0.0000,415683,1272237,0
1777396257389,-kDGMGgSGeGG-AZCAAAD,428,9,0.0000,302596,1606095,0
1777396257761,3sFShQoxYpjTKpPDAAAB,13,23,0.0006,1508124,309601,0
1777396257894,-kDGMGgSGeGG-AZCAAAD,32,9,0.0000,329756,1527719,2920840
1777396258390,-kDGMGgSGeGG-AZCAAAD,32,5,0.0000,364180,1714652,2920840
1777396258761,3sFShQoxYpjTKpPDAAAB,13,13,0.0005,1462349,360283,0
1777396258894,-kDGMGgSGeGG-AZCAAAD,32,4,0.0000,374084,1047626,2920840
1777396259389,-kDGMGgSGeGG-AZCAAAD,32,5,0.0000,371108,1106708,2920840
1777396259761,3sFShQoxYpjTKpPDAAAB,13,10,0.0005,1061672,345190,0
1777396259889,-kDGMGgSGeGG-AZCAAAD,32,6,0.0000,285553,1130751,2920840
1777396260390,-kDGMGgSGeGG-AZCAAAD,9,7,0.0000,369674,1994984,2920840
1777396260761,3sFShQoxYpjTKpPDAAAB,13,12,0.0004,1901086,398760,0
1777396260890,-kDGMGgSGeGG-AZCAAAD,9,7,0.0000,438939,1789702,2935385
1777396261390,-kDGMGgSGeGG-AZCAAAD,9,22,0.0000,601588,1864624,3052922
1777396261760,3sFShQoxYpjTKpPDAAAB,13,11,0.0004,1654690,588253,0
1777396261892,-kDGMGgSGeGG-AZCAAAD,9,21,0.0000,620400,1546986,3067350
1777396262388,-kDGMGgSGeGG-AZCAAAD,9,10,0.0000,409006,2181860,3067350
1777396262761,3sFShQoxYpjTKpPDAAAB,13,12,0.0004,1905263,472242,0
1777396262894,-kDGMGgSGeGG-AZCAAAD,15,20,0.0000,597683,1639265,3086892
1777396263389,-kDGMGgSGeGG-AZCAAAD,15,21,0.0000,585137,1604392,3141580
1777396263760,3sFShQoxYpjTKpPDAAAB,13,9,0.0004,1482729,551585,0
1777396263892,-kDGMGgSGeGG-AZCAAAD,15,15,0.0000,445045,1382786,3141580
1777396264389,-kDGMGgSGeGG-AZCAAAD,15,13,0.0000,466952,1184960,3141580
1777396264761,3sFShQoxYpjTKpPDAAAB,13,14,0.0003,1322356,531167,0
1777396264889,-kDGMGgSGeGG-AZCAAAD,15,18,0.0000,700175,1339953,3141580
1777396265390,-kDGMGgSGeGG-AZCAAAD,15,16,0.0000,605595,1917528,3141580
1777396265761,3sFShQoxYpjTKpPDAAAB,13,12,0.0003,1723022,620974,0
1777396265894,-kDGMGgSGeGG-AZCAAAD,8,12,0.0000,599639,1686979,3141580
1777396266389,-kDGMGgSGeGG-AZCAAAD,8,9,0.0000,542663,1959374,3141580
1777396266761,3sFShQoxYpjTKpPDAAAB,13,10,0.0003,1896233,606251,0
1777396266890,-kDGMGgSGeGG-AZCAAAD,8,6,0.0000,682835,1840075,3157887
1777396267388,-kDGMGgSGeGG-AZCAAAD,8,5,0.0000,685858,2016853,3184603
1777396267761,3sFShQoxYpjTKpPDAAAB,13,10,0.0003,1970324,687447,0
1777396267894,-kDGMGgSGeGG-AZCAAAD,8,7,0.0000,726053,2095170,3213501
1777396268391,-kDGMGgSGeGG-AZCAAAD,36,10,0.0000,785131,2054410,3296214
1777396268760,3sFShQoxYpjTKpPDAAAB,13,14,0.0005,2058937,810832,0
1777396268890,-kDGMGgSGeGG-AZCAAAD,36,28,0.0008,817590,1870736,3349775
1777396269390,-kDGMGgSGeGG-AZCAAAD,36,26,0.0008,657554,2117715,3349775
1777396269761,3sFShQoxYpjTKpPDAAAB,13,16,0.0005,2027043,667360,0
1777396269890,-kDGMGgSGeGG-AZCAAAD,36,17,0.0008,630172,2163116,3353587
1777396270390,-kDGMGgSGeGG-AZCAAAD,36,26,0.0007,1075768,2023401,3404548
1777396270761,3sFShQoxYpjTKpPDAAAB,13,12,0.0007,2109360,1080626,0
1777396270890,-kDGMGgSGeGG-AZCAAAD,16,23,0.0007,1105276,2344096,3404549
1777396271390,-kDGMGgSGeGG-AZCAAAD,16,24,0.0007,1212385,3266654,3404549
1777396271762,3sFShQoxYpjTKpPDAAAB,13,14,0.0006,2916125,1172407,0
1777396271890,-kDGMGgSGeGG-AZCAAAD,16,22,0.0006,1158337,2702936,3708281
1777396272391,-kDGMGgSGeGG-AZCAAAD,16,20,0.0006,1109710,2470020,3869993
1777396272761,3sFShQoxYpjTKpPDAAAB,13,19,0.0006,2582397,1191431,0
1777396272890,-kDGMGgSGeGG-AZCAAAD,16,25,0.0006,1121078,2264054,3934918
1777396273389,-kDGMGgSGeGG-AZCAAAD,16,18,0.0006,1095025,1801536,4012492
1777396273762,3sFShQoxYpjTKpPDAAAB,13,9,0.0006,1893753,923444,0
1777396273890,-kDGMGgSGeGG-AZCAAAD,32,15,0.0005,894141,1941154,4012492
1777396274391,-kDGMGgSGeGG-AZCAAAD,32,14,0.0005,1109033,1997340,4012492
1777396274760,3sFShQoxYpjTKpPDAAAB,13,9,0.0005,1884304,1130326,0
1777396274894,-kDGMGgSGeGG-AZCAAAD,32,25,0.0010,1284449,1779589,4012492
1777396275389,-kDGMGgSGeGG-AZCAAAD,32,36,0.0010,1630560,2172989,4012492
1777396275763,3sFShQoxYpjTKpPDAAAB,13,10,0.0005,1984407,1427614,0
1777396275890,-kDGMGgSGeGG-AZCAAAD,32,23,0.0009,1226423,2210447,4012492
1777396276389,-kDGMGgSGeGG-AZCAAAD,7,18,0.0009,1202930,1838763,4012492
1777396276761,3sFShQoxYpjTKpPDAAAB,13,11,0.0005,2018584,977801,0
1777396276888,-kDGMGgSGeGG-AZCAAAD,7,35,0.0013,604432,1942374,4012492
1777396277390,-kDGMGgSGeGG-AZCAAAD,7,27,0.0013,1122294,2168002,4012492
1777396277761,3sFShQoxYpjTKpPDAAAB,13,9,0.0005,1925886,1150448,0
1777396277890,-kDGMGgSGeGG-AZCAAAD,7,34,0.0012,1271047,1678185,4012492
1777396278390,-kDGMGgSGeGG-AZCAAAD,7,19,0.0012,738899,2014418,4012492
1777396278761,3sFShQoxYpjTKpPDAAAB,13,13,0.0005,1972957,862225,0
1777396278893,-kDGMGgSGeGG-AZCAAAD,8,18,0.0012,1010493,1702097,4012492
1777396279390,-kDGMGgSGeGG-AZCAAAD,8,20,0.0011,1207266,1955401,4012492
1777396279761,3sFShQoxYpjTKpPDAAAB,10,8,0.0004,1805271,1146450,1592164
1777396279895,-kDGMGgSGeGG-AZCAAAD,8,14,0.0011,998380,1748841,4012492
1777396280390,-kDGMGgSGeGG-AZCAAAD,8,9,0.0011,1025728,2481810,4012492
1777396280761,3sFShQoxYpjTKpPDAAAB,10,11,0.0004,2223514,1159314,1713235
1777396280890,-kDGMGgSGeGG-AZCAAAD,8,18,0.0011,1538153,1819361,4012492
1777396281391,-kDGMGgSGeGG-AZCAAAD,8,28,0.0010,1619840,1841369,4012492
1777396281761,3sFShQoxYpjTKpPDAAAB,10,7,0.0004,1630379,1499587,1841514
1777396281890,-kDGMGgSGeGG-AZCAAAD,8,17,0.0010,1248844,1577926,4012492
1777396282389,-kDGMGgSGeGG-AZCAAAD,8,16,0.0010,1386358,1827856,4012492
1777396282781,3sFShQoxYpjTKpPDAAAB,11,11,0.0004,2041930,1238094,1979641
1777396282892,-kDGMGgSGeGG-AZCAAAD,8,14,0.0009,1090119,2428202,4012492
1777396283389,-kDGMGgSGeGG-AZCAAAD,8,9,0.0009,1324428,2897420,4089841
1777396283762,3sFShQoxYpjTKpPDAAAB,11,25,0.0004,2897529,1445435,2095263
1777396283894,-kDGMGgSGeGG-AZCAAAD,8,13,0.0009,1720249,3136259,4171426
1777396284389,-kDGMGgSGeGG-AZCAAAD,9,12,0.0009,1481013,2328841,4355036
1777396284761,3sFShQoxYpjTKpPDAAAB,11,15,0.0004,2147909,1487147,2217891
1777396284891,-kDGMGgSGeGG-AZCAAAD,9,15,0.0008,1474066,1473618,4423629
1777396285390,-kDGMGgSGeGG-AZCAAAD,9,16,0.0008,1455338,1544071,4423629
1777396285762,3sFShQoxYpjTKpPDAAAB,8,13,0.0004,1830368,1479062,2412996
1777396285894,-kDGMGgSGeGG-AZCAAAD,9,15,0.0008,1505333,2320329,4423629
1777396286389,-kDGMGgSGeGG-AZCAAAD,9,18,0.0008,2001174,1974824,4423629
1777396286761,3sFShQoxYpjTKpPDAAAB,8,9,0.0004,2127599,2019263,2531968
1777396286889,-kDGMGgSGeGG-AZCAAAD,27,16,0.0008,1885296,2060101,4423629
1777396287392,-kDGMGgSGeGG-AZCAAAD,27,18,0.0007,2097870,2929814,4423629
1777396287760,3sFShQoxYpjTKpPDAAAB,12,17,0.0007,2909944,1839902,2774853
1777396287894,-kDGMGgSGeGG-AZCAAAD,27,12,0.0007,1730463,3299241,4486056
1777396288389,-kDGMGgSGeGG-AZCAAAD,27,9,0.0007,1866924,2775177,4683178
1777396288762,3sFShQoxYpjTKpPDAAAB,12,13,0.0007,2409220,2050175,2945111
1777396288890,-kDGMGgSGeGG-AZCAAAD,27,18,0.0007,2358327,1749760,4730043
1777396289390,-kDGMGgSGeGG-AZCAAAD,0,16,0.0007,1912952,2010195,0
1777396289760,3sFShQoxYpjTKpPDAAAB,12,10,0.0006,1713581,2056851,3151196
1777396289891,-kDGMGgSGeGG-AZCAAAD,10,12,0.0006,2120142,1451056,4730043
1777396290390,-kDGMGgSGeGG-AZCAAAD,10,16,0.0008,2121665,1823944,4730043
1777396290761,3sFShQoxYpjTKpPDAAAB,12,13,0.0006,2147846,2274814,3411501
1777396290889,-kDGMGgSGeGG-AZCAAAD,10,19,0.0008,2509948,2249164,4730043
1777396291390,-kDGMGgSGeGG-AZCAAAD,10,19,0.0008,2272757,2633617,4730043
1777396291761,3sFShQoxYpjTKpPDAAAB,12,11,0.0006,1909237,2197582,3649555
1777396291895,-kDGMGgSGeGG-AZCAAAD,10,17,0.0008,2072327,1674334,4730043
1777396292391,-kDGMGgSGeGG-AZCAAAD,10,15,0.0008,2245346,3397320,4730043
1777396292761,3sFShQoxYpjTKpPDAAAB,12,20,0.0007,3415878,2206320,3662514
1777396292894,-kDGMGgSGeGG-AZCAAAD,10,13,0.0007,2012015,3833429,4730043
1777396293391,-kDGMGgSGeGG-AZCAAAD,10,20,0.0007,1775795,3830624,4967634
1777396293763,3sFShQoxYpjTKpPDAAAB,8,20,0.0007,3597729,1772261,3679689
1777396293893,-kDGMGgSGeGG-AZCAAAD,10,14,0.0007,1614152,2599046,5181038
1777396294389,-kDGMGgSGeGG-AZCAAAD,10,12,0.0007,1585040,1602706,5183313
1777396294762,3sFShQoxYpjTKpPDAAAB,8,8,0.0006,1463931,1680221,3679689
1777396294893,-kDGMGgSGeGG-AZCAAAD,8,13,0.0007,2066923,1300578,5183313
1777396295389,-kDGMGgSGeGG-AZCAAAD,8,11,0.0007,2090884,1559366,5183313
1777396295761,3sFShQoxYpjTKpPDAAAB,8,8,0.0006,1667172,1953259,3679689
1777396295890,-kDGMGgSGeGG-AZCAAAD,8,11,0.0007,1822047,2023947,5183313
1777396296389,-kDGMGgSGeGG-AZCAAAD,8,20,0.0006,2697852,2154533,5183313
1777396296761,3sFShQoxYpjTKpPDAAAB,8,12,0.0006,1960825,2448278,3769986
1777396296891,-kDGMGgSGeGG-AZCAAAD,8,17,0.0006,2302088,1643885,5183313
1777396297392,-kDGMGgSGeGG-AZCAAAD,14,16,0.0006,2344433,2384571,5183313
1777396297760,3sFShQoxYpjTKpPDAAAB,8,9,0.0006,1972694,2266832,3880197
1777396297894,-kDGMGgSGeGG-AZCAAAD,14,14,0.0006,1976631,1948986,5183313
1777396298390,-kDGMGgSGeGG-AZCAAAD,14,20,0.0006,2401239,2128882,5183313
1777396298761,3sFShQoxYpjTKpPDAAAB,43,9,0.0006,2194224,2133066,3880197
1777396298891,-kDGMGgSGeGG-AZCAAAD,14,14,0.0006,1808850,1716037,5183313
1777396299389,-kDGMGgSGeGG-AZCAAAD,14,11,0.0006,1921864,2347085,5183313
1777396299761,3sFShQoxYpjTKpPDAAAB,43,14,0.0006,2625566,1881704,3880197
1777396299891,-kDGMGgSGeGG-AZCAAAD,14,12,0.0006,1928332,3674142,5183313
1777396300389,-kDGMGgSGeGG-AZCAAAD,12,11,0.0006,2020321,2678383,5262036
1777396300761,3sFShQoxYpjTKpPDAAAB,43,11,0.0006,2538086,1998865,3880197
1777396300895,-kDGMGgSGeGG-AZCAAAD,12,9,0.0005,2061758,1606829,5283328
1777396301392,-kDGMGgSGeGG-AZCAAAD,12,8,0.0005,2005517,1732838,5283328
1777396301761,3sFShQoxYpjTKpPDAAAB,11,8,0.0006,1532268,2001769,3880197
1777396301891,-kDGMGgSGeGG-AZCAAAD,12,9,0.0005,2066834,1714498,5283328
1777396302389,-kDGMGgSGeGG-AZCAAAD,12,6,0.0005,1816670,2161481,5283328
1777396302760,3sFShQoxYpjTKpPDAAAB,11,12,0.0005,2068710,1989458,3880197
1777396302895,-kDGMGgSGeGG-AZCAAAD,12,10,0.0005,2011808,1743016,5283328
1777396303392,-kDGMGgSGeGG-AZCAAAD,12,8,0.0005,1896581,2172844,5283328
