timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777409130195,pSYsvADIHlZ7390FAAAH,125,23,0.0157,0,0,3662641
1777409130694,pSYsvADIHlZ7390FAAAH,125,29,0.0157,338291,1692435,1439321
1777409130577,6Fa_smciN0seBfHHAAAJ,0,21,0.0165,0,0,0
1777409131193,pSYsvADIHlZ7390FAAAH,125,35,0.0157,332962,800563,365835
1777409131693,pSYsvADIHlZ7390FAAAH,0,35,0.0157,291187,684113,0
1777409131576,6Fa_smciN0seBfHHAAAJ,0,22,0.0165,539169,480304,0
1777409132192,pSYsvADIHlZ7390FAAAH,358,35,0.0157,303043,738731,369215
1777409132694,pSYsvADIHlZ7390FAAAH,358,116,0.0158,348251,731598,383350
1777409132580,6Fa_smciN0seBfHHAAAJ,344,23,0.0165,509952,448136,196093
1777409133203,pSYsvADIHlZ7390FAAAH,358,106,0.0158,398397,558832,399327
1777409133581,6Fa_smciN0seBfHHAAAJ,344,32,0.0165,454922,427090,203595
1777409133693,pSYsvADIHlZ7390FAAAH,358,85,0.0158,362299,622164,408900
1777409134200,pSYsvADIHlZ7390FAAAH,358,110,0.0158,352255,509803,421768
1777409134696,pSYsvADIHlZ7390FAAAH,212,95,0.0158,352930,404197,435603
1777409134579,6Fa_smciN0seBfHHAAAJ,278,67,0.0165,508165,297401,212950
1777409135201,pSYsvADIHlZ7390FAAAH,212,337,0.0158,229068,401398,435603
1777409135578,6Fa_smciN0seBfHHAAAJ,278,654,0.0165,426450,213402,224915
1777409135695,pSYsvADIHlZ7390FAAAH,212,430,0.0158,197750,415026,451094
1777409136198,pSYsvADIHlZ7390FAAAH,212,524,0.0158,182549,442166,465564
1777409136694,pSYsvADIHlZ7390FAAAH,212,504,0.0158,138506,339861,347512
1777409136577,6Fa_smciN0seBfHHAAAJ,0,193,0.0165,356766,172800,0
1777409137199,pSYsvADIHlZ7390FAAAH,18,469,0.0158,164338,189056,348369
1777409137693,pSYsvADIHlZ7390FAAAH,18,456,0.0158,71459,158942,348369
1777409137583,6Fa_smciN0seBfHHAAAJ,161,102,0.0165,205634,105268,184530
1777409138194,pSYsvADIHlZ7390FAAAH,18,434,0.0158,88373,169729,348369
1777409138694,pSYsvADIHlZ7390FAAAH,18,421,0.0158,17206,172749,190485
1777409138581,6Fa_smciN0seBfHHAAAJ,161,62,0.0165,180540,52907,96400
1777409139202,pSYsvADIHlZ7390FAAAH,18,342,0.0158,54527,157662,190485
1777409139694,pSYsvADIHlZ7390FAAAH,0,305,0.0158,62578,106087,0
1777409139581,6Fa_smciN0seBfHHAAAJ,24,55,0.0165,127588,58385,96731
1777409140195,pSYsvADIHlZ7390FAAAH,89,319,0.0158,58333,143068,207852
1777409140694,pSYsvADIHlZ7390FAAAH,89,213,0.0158,49946,169436,218483
1777409140578,6Fa_smciN0seBfHHAAAJ,24,81,0.0165,161405,59466,103704
1777409141197,pSYsvADIHlZ7390FAAAH,89,216,0.0158,69893,76614,237444
1777409141693,pSYsvADIHlZ7390FAAAH,89,218,0.0158,42134,97779,244832
1777409141581,6Fa_smciN0seBfHHAAAJ,24,43,0.0165,80693,50796,117109
1777409142193,pSYsvADIHlZ7390FAAAH,89,216,0.0158,49450,98772,96400
1777409142695,pSYsvADIHlZ7390FAAAH,45,200,0.0158,47268,51260,96400
1777409142583,6Fa_smciN0seBfHHAAAJ,0,46,0.0165,55261,64759,0
1777409143195,pSYsvADIHlZ7390FAAAH,45,201,0.0158,55037,58035,97006
1777409143694,pSYsvADIHlZ7390FAAAH,45,202,0.0158,51112,76652,174666
1777409143579,6Fa_smciN0seBfHHAAAJ,20,184,0.0165,76056,57918,96400
1777409144198,pSYsvADIHlZ7390FAAAH,45,189,0.0158,63838,90835,109354
1777409144694,pSYsvADIHlZ7390FAAAH,45,215,0.0158,52746,58686,109354
1777409144574,6Fa_smciN0seBfHHAAAJ,20,184,0.0165,69679,53783,96400
1777409145195,pSYsvADIHlZ7390FAAAH,87,171,0.0158,47472,60715,96400
1777409145692,pSYsvADIHlZ7390FAAAH,87,161,0.0158,37365,50330,97460
1777409145586,6Fa_smciN0seBfHHAAAJ,20,122,0.0165,60105,41852,96400
1777409146193,pSYsvADIHlZ7390FAAAH,87,97,0.0158,41369,41241,97460
1777409146576,6Fa_smciN0seBfHHAAAJ,21,38,0.0165,37166,31121,96401
1777409146695,pSYsvADIHlZ7390FAAAH,87,80,0.0158,20158,34231,102839
1777409147194,pSYsvADIHlZ7390FAAAH,87,59,0.0158,33353,34253,102839
1777409147578,6Fa_smciN0seBfHHAAAJ,21,25,0.0165,30095,34325,96401
1777409147694,pSYsvADIHlZ7390FAAAH,0,53,0.0158,35525,24132,0
1777409148194,pSYsvADIHlZ7390FAAAH,141,52,0.0158,29631,30704,96400
1777409148580,6Fa_smciN0seBfHHAAAJ,0,47,0.0165,23250,36301,0
1777409148695,pSYsvADIHlZ7390FAAAH,141,58,0.0158,26343,40683,96400
1777409149193,pSYsvADIHlZ7390FAAAH,141,69,0.0158,71258,53058,96400
1777409149582,6Fa_smciN0seBfHHAAAJ,175,49,0.0165,46568,40351,98178
1777409149697,pSYsvADIHlZ7390FAAAH,141,59,0.0158,26468,34310,96400
1777409150194,pSYsvADIHlZ7390FAAAH,141,60,0.0158,51492,36049,96400
1777409150576,6Fa_smciN0seBfHHAAAJ,175,21,0.0165,32971,55893,103031
1777409150694,pSYsvADIHlZ7390FAAAH,21,65,0.0158,59999,29759,96400
1777409151196,pSYsvADIHlZ7390FAAAH,21,54,0.0158,25155,34999,96400
1777409151695,pSYsvADIHlZ7390FAAAH,21,50,0.0158,53693,31285,96400
1777409151586,6Fa_smciN0seBfHHAAAJ,175,14,0.0165,30263,39010,118000
1777409152203,pSYsvADIHlZ7390FAAAH,21,55,0.0158,56072,22470,96400
1777409152576,6Fa_smciN0seBfHHAAAJ,24,13,0.0165,30164,65616,135222
1777409152694,pSYsvADIHlZ7390FAAAH,21,56,0.0158,74467,32383,96400
1777409153202,pSYsvADIHlZ7390FAAAH,21,58,0.0158,44329,34224,96400
1777409153577,6Fa_smciN0seBfHHAAAJ,24,10,0.0165,29154,56421,152293
1777409153695,pSYsvADIHlZ7390FAAAH,21,55,0.0158,69050,29823,96401
1777409154195,pSYsvADIHlZ7390FAAAH,21,47,0.0158,46892,31128,96401
1777409154577,6Fa_smciN0seBfHHAAAJ,24,7,0.0165,34531,61392,162592
1777409154695,pSYsvADIHlZ7390FAAAH,21,36,0.0158,76021,32274,96784
1777409155199,pSYsvADIHlZ7390FAAAH,21,30,0.0158,58899,25122,99581
1777409155577,6Fa_smciN0seBfHHAAAJ,20,5,0.0165,23373,61409,172117
1777409155693,pSYsvADIHlZ7390FAAAH,26,28,0.0158,64360,21740,99581
1777409156194,pSYsvADIHlZ7390FAAAH,26,23,0.0158,77815,48650,100328
1777409156583,6Fa_smciN0seBfHHAAAJ,20,6,0.0165,33617,73442,176732
1777409156694,pSYsvADIHlZ7390FAAAH,26,22,0.0158,70112,19051,104208
1777409157198,pSYsvADIHlZ7390FAAAH,26,21,0.0158,16335,40916,104208
1777409157582,6Fa_smciN0seBfHHAAAJ,162,8,0.0165,31150,79961,188672
1777409157698,pSYsvADIHlZ7390FAAAH,26,74,0.0158,143429,20996,105989
1777409158193,pSYsvADIHlZ7390FAAAH,26,69,0.0158,54245,52563,108890
1777409158574,6Fa_smciN0seBfHHAAAJ,162,22,0.0165,34976,65720,191048
1777409158694,pSYsvADIHlZ7390FAAAH,131,66,0.0158,76542,23513,108890
1777409159195,pSYsvADIHlZ7390FAAAH,131,62,0.0158,88721,30548,108890
1777409159582,6Fa_smciN0seBfHHAAAJ,162,17,0.0165,37278,86753,192646
1777409159694,pSYsvADIHlZ7390FAAAH,131,45,0.0158,86306,38455,110870
1777409160202,pSYsvADIHlZ7390FAAAH,131,30,0.0158,80953,27983,111082
1777409160584,6Fa_smciN0seBfHHAAAJ,32,14,0.0165,27789,86922,201407
1777409160697,pSYsvADIHlZ7390FAAAH,131,22,0.0158,92974,27565,118670
1777409161202,pSYsvADIHlZ7390FAAAH,25,16,0.0158,93014,26117,121354
1777409161579,6Fa_smciN0seBfHHAAAJ,32,15,0.0165,34253,96440,213688
1777409161694,pSYsvADIHlZ7390FAAAH,25,14,0.0158,99820,42552,131977
1777409162201,pSYsvADIHlZ7390FAAAH,25,8,0.0158,59040,29449,133037
1777409162577,6Fa_smciN0seBfHHAAAJ,32,27,0.0165,64110,56362,218234
1777409162695,pSYsvADIHlZ7390FAAAH,25,6,0.0158,53454,99537,172948
1777409163194,pSYsvADIHlZ7390FAAAH,25,6,0.0158,65168,66196,192878
1777409163694,pSYsvADIHlZ7390FAAAH,22,5,0.0158,98929,57873,201045
1777409163584,6Fa_smciN0seBfHHAAAJ,20,20,0.0165,61507,81376,218234
1777409164201,pSYsvADIHlZ7390FAAAH,22,5,0.0158,92630,79303,201045
1777409164582,6Fa_smciN0seBfHHAAAJ,20,14,0.0165,92462,91451,221401
1777409164695,pSYsvADIHlZ7390FAAAH,22,12,0.0158,89802,110393,206313
1777409165196,pSYsvADIHlZ7390FAAAH,22,10,0.0158,120777,75334,210660
1777409165577,6Fa_smciN0seBfHHAAAJ,100,14,0.0165,90972,125575,230230
1777409165694,pSYsvADIHlZ7390FAAAH,22,13,0.0158,129665,101395,221361
1777409166193,pSYsvADIHlZ7390FAAAH,0,15,0.0158,143786,109652,0
1777409166578,6Fa_smciN0seBfHHAAAJ,100,19,0.0165,81403,140978,251593
1777409166695,pSYsvADIHlZ7390FAAAH,87,18,0.0158,138479,64952,229927
1777409167193,pSYsvADIHlZ7390FAAAH,87,23,0.0158,161863,57383,229927
1777409167578,6Fa_smciN0seBfHHAAAJ,100,21,0.0165,67942,162885,271391
1777409167693,pSYsvADIHlZ7390FAAAH,87,18,0.0158,147494,67151,229927
1777409168203,pSYsvADIHlZ7390FAAAH,87,29,0.0158,129432,51914,229927
1777409168575,6Fa_smciN0seBfHHAAAJ,353,33,0.0165,37144,170917,155075
1777409168697,pSYsvADIHlZ7390FAAAH,87,34,0.0158,171748,34771,96400
1777409169194,pSYsvADIHlZ7390FAAAH,117,37,0.0158,83656,46720,96400
1777409169694,pSYsvADIHlZ7390FAAAH,117,49,0.0158,83710,49079,96400
1777409169582,6Fa_smciN0seBfHHAAAJ,353,39,0.0165,49787,74060,119153
1777409170195,pSYsvADIHlZ7390FAAAH,117,56,0.0158,48088,56289,96400
1777409170578,6Fa_smciN0seBfHHAAAJ,0,43,0.0165,42060,40236,0
1777409170695,pSYsvADIHlZ7390FAAAH,117,53,0.0158,16307,27451,101112
1777409171201,pSYsvADIHlZ7390FAAAH,117,60,0.0158,75212,31080,106482
1777409171584,6Fa_smciN0seBfHHAAAJ,133,33,0.0165,26688,65474,127945
1777409171694,pSYsvADIHlZ7390FAAAH,129,64,0.0158,57837,26412,112111
1777409172202,pSYsvADIHlZ7390FAAAH,129,72,0.0158,67949,39861,112111
1777409172574,6Fa_smciN0seBfHHAAAJ,133,34,0.0165,34054,55668,127945
1777409172695,pSYsvADIHlZ7390FAAAH,129,73,0.0158,56507,24612,112111
1777409173202,pSYsvADIHlZ7390FAAAH,129,65,0.0158,67790,43043,112112
1777409173582,6Fa_smciN0seBfHHAAAJ,108,26,0.0165,28841,73712,134888
1777409173694,pSYsvADIHlZ7390FAAAH,129,67,0.0158,81424,15721,112112
1777409174202,pSYsvADIHlZ7390FAAAH,0,67,0.0158,49044,40134,0
1777409174694,pSYsvADIHlZ7390FAAAH,105,61,0.0158,64922,21483,118800
1777409174583,6Fa_smciN0seBfHHAAAJ,108,21,0.0165,31885,56806,147211
1777409175199,pSYsvADIHlZ7390FAAAH,105,56,0.0158,65622,37437,119142
1777409175582,6Fa_smciN0seBfHHAAAJ,108,10,0.0165,44161,71872,163448
1777409175694,pSYsvADIHlZ7390FAAAH,105,54,0.0158,78245,51019,122016
1777409176197,pSYsvADIHlZ7390FAAAH,105,56,0.0158,39768,42639,126002
1777409176575,6Fa_smciN0seBfHHAAAJ,20,7,0.0165,42891,49848,176316
1777409176694,pSYsvADIHlZ7390FAAAH,105,55,0.0158,59462,42654,126002
1777409177198,pSYsvADIHlZ7390FAAAH,23,42,0.0158,66951,59868,134927
1777409177695,pSYsvADIHlZ7390FAAAH,23,27,0.0158,100155,40291,137063
1777409177583,6Fa_smciN0seBfHHAAAJ,20,7,0.0165,47939,82700,277380
1777409178199,pSYsvADIHlZ7390FAAAH,23,16,0.0158,123043,53601,145168
1777409178577,6Fa_smciN0seBfHHAAAJ,35,6,0.0165,50013,140446,356041
1777409178693,pSYsvADIHlZ7390FAAAH,23,10,0.0158,157260,42424,145664
1777409179200,pSYsvADIHlZ7390FAAAH,23,13,0.0158,97975,53658,96400
1777409179576,6Fa_smciN0seBfHHAAAJ,35,31,0.0165,45508,84685,146273
1777409179695,pSYsvADIHlZ7390FAAAH,26,12,0.0158,70696,36959,97006
1777409180201,pSYsvADIHlZ7390FAAAH,26,8,0.0158,98802,52006,101332
1777409180576,6Fa_smciN0seBfHHAAAJ,35,43,0.0165,45025,90827,272727
1777409180693,pSYsvADIHlZ7390FAAAH,26,8,0.0158,83004,38034,108568
1777409181203,pSYsvADIHlZ7390FAAAH,26,7,0.0158,169591,21800,117261
1777409181579,6Fa_smciN0seBfHHAAAJ,21,31,0.0165,30417,149322,288109
1777409181698,pSYsvADIHlZ7390FAAAH,26,7,0.0158,128113,39241,120613
1777409182199,pSYsvADIHlZ7390FAAAH,0,15,0.0157,119867,27290,0
1777409182695,pSYsvADIHlZ7390FAAAH,121,20,0.0158,129789,37143,96400
1777409182583,6Fa_smciN0seBfHHAAAJ,21,47,0.0165,27616,138815,112564
1777409183193,pSYsvADIHlZ7390FAAAH,121,30,0.0158,59177,40174,96400
1777409183697,pSYsvADIHlZ7390FAAAH,121,43,0.0158,55226,32935,96400
1777409183581,6Fa_smciN0seBfHHAAAJ,21,56,0.0165,33733,69329,113161
1777409184202,pSYsvADIHlZ7390FAAAH,121,94,0.0158,73048,27939,96400
1777409184693,pSYsvADIHlZ7390FAAAH,121,91,0.0158,22312,41202,96400
1777409184575,6Fa_smciN0seBfHHAAAJ,289,50,0.0165,26072,40013,113161
1777409185199,pSYsvADIHlZ7390FAAAH,154,67,0.0158,39258,29423,96400
1777409185692,pSYsvADIHlZ7390FAAAH,154,63,0.0158,37149,26092,96400
1777409185575,6Fa_smciN0seBfHHAAAJ,289,49,0.0165,34402,41217,113161
1777409186194,pSYsvADIHlZ7390FAAAH,154,57,0.0158,26252,39586,96401
1777409186581,6Fa_smciN0seBfHHAAAJ,0,49,0.0165,24989,33310,0
1777409186694,pSYsvADIHlZ7390FAAAH,154,59,0.0158,23071,28298,96401
1777409187197,pSYsvADIHlZ7390FAAAH,154,64,0.0158,32407,35310,96401
1777409187695,pSYsvADIHlZ7390FAAAH,24,73,0.0158,42749,43810,96401
1777409187578,6Fa_smciN0seBfHHAAAJ,286,50,0.0165,36350,44301,96400
1777409188200,pSYsvADIHlZ7390FAAAH,24,67,0.0158,36351,32127,96401
1777409188695,pSYsvADIHlZ7390FAAAH,24,70,0.0158,60726,18532,96401
1777409188575,6Fa_smciN0seBfHHAAAJ,286,41,0.0165,26604,56517,96400
1777409189203,pSYsvADIHlZ7390FAAAH,24,77,0.0158,55041,31847,96404
1777409189574,6Fa_smciN0seBfHHAAAJ,166,29,0.0165,36583,37401,96400
1777409189694,pSYsvADIHlZ7390FAAAH,24,71,0.0158,35478,37159,96400
1777409190198,pSYsvADIHlZ7390FAAAH,23,68,0.0158,34709,30036,96400
1777409190577,6Fa_smciN0seBfHHAAAJ,166,19,0.0165,30506,47351,96401
1777409190694,pSYsvADIHlZ7390FAAAH,23,83,0.0158,60616,31246,100768
1777409191193,pSYsvADIHlZ7390FAAAH,23,95,0.0158,52666,26911,105842
1777409191577,6Fa_smciN0seBfHHAAAJ,166,15,0.0165,28550,61452,115288
1777409191695,pSYsvADIHlZ7390FAAAH,23,102,0.0158,70092,30133,111460
1777409192201,pSYsvADIHlZ7390FAAAH,23,96,0.0158,14217,33776,113002
1777409192581,6Fa_smciN0seBfHHAAAJ,20,17,0.0165,31373,29514,115288
1777409192698,pSYsvADIHlZ7390FAAAH,23,75,0.0158,45219,29065,113002
1777409193196,pSYsvADIHlZ7390FAAAH,33,66,0.0158,52111,30736,114507
1777409193695,pSYsvADIHlZ7390FAAAH,33,56,0.0158,53241,26685,114507
1777409193582,6Fa_smciN0seBfHHAAAJ,20,15,0.0165,28584,52446,96400
1777409194194,pSYsvADIHlZ7390FAAAH,33,51,0.0158,40408,47429,116793
1777409194696,pSYsvADIHlZ7390FAAAH,33,61,0.0158,38638,30262,96400
1777409194583,6Fa_smciN0seBfHHAAAJ,67,31,0.0165,35532,39491,96400
1777409195201,pSYsvADIHlZ7390FAAAH,33,51,0.0158,26368,26718,96400
1777409195694,pSYsvADIHlZ7390FAAAH,19,40,0.0158,32566,34274,96400
1777409195582,6Fa_smciN0seBfHHAAAJ,67,22,0.0165,33630,29349,96400
1777409196194,pSYsvADIHlZ7390FAAAH,19,43,0.0158,50877,30789,96400
1777409196579,6Fa_smciN0seBfHHAAAJ,67,16,0.0165,28117,57221,106002
1777409196694,pSYsvADIHlZ7390FAAAH,19,65,0.0158,63291,25310,96401
1777409197201,pSYsvADIHlZ7390FAAAH,19,63,0.0158,18146,37997,96401
1777409197576,6Fa_smciN0seBfHHAAAJ,89,24,0.0165,35279,27046,96400
