timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777450096902,siRFufBEz-P9wDBFAAAF,0,21,0.0168,0,0,0
1777450095874,Tvwf4rsLLIo2X-CiAAAH,78,23,0.0152,0,0,3979629
1777450097401,siRFufBEz-P9wDBFAAAF,43,23,0.0168,2969166,254739,371734
1777450096370,Tvwf4rsLLIo2X-CiAAAH,33,17,0.0152,256437,2748220,4174461
1777450097901,siRFufBEz-P9wDBFAAAF,43,16,0.0168,2355273,272184,386161
1777450096870,Tvwf4rsLLIo2X-CiAAAH,33,13,0.0152,272688,2441378,4276162
1777450098401,siRFufBEz-P9wDBFAAAF,43,27,0.0168,2556273,302548,392344
1777450097371,Tvwf4rsLLIo2X-CiAAAH,33,16,0.0152,301558,2594477,4360185
1777450098900,siRFufBEz-P9wDBFAAAF,43,22,0.0168,2597294,184834,406288
1777450097871,Tvwf4rsLLIo2X-CiAAAH,33,9,0.0152,184443,2480041,4360185
1777450099401,siRFufBEz-P9wDBFAAAF,43,15,0.0168,2157923,225497,416306
1777450098369,Tvwf4rsLLIo2X-CiAAAH,33,5,0.0152,226536,2048203,4360185
1777450098875,Tvwf4rsLLIo2X-CiAAAH,28,4,0.0152,248811,2175683,4360185
1777450099903,siRFufBEz-P9wDBFAAAF,29,13,0.0168,2034069,257010,429673
1777450100401,siRFufBEz-P9wDBFAAAF,29,14,0.0168,2203993,253465,265539
1777450099371,Tvwf4rsLLIo2X-CiAAAH,28,25,0.0152,260721,2051477,4360185
1777450100908,siRFufBEz-P9wDBFAAAF,29,12,0.0168,1998600,211940,284919
1777450099873,Tvwf4rsLLIo2X-CiAAAH,28,28,0.0152,213531,2222030,4360185
1777450101402,siRFufBEz-P9wDBFAAAF,29,9,0.0168,1870866,208630,296581
1777450100370,Tvwf4rsLLIo2X-CiAAAH,28,23,0.0152,207659,1778353,4360185
1777450101909,siRFufBEz-P9wDBFAAAF,29,12,0.0168,2632963,141185,307437
1777450100869,Tvwf4rsLLIo2X-CiAAAH,28,11,0.0152,143495,2725813,4360185
1777450102402,siRFufBEz-P9wDBFAAAF,28,11,0.0168,2103939,185762,312338
1777450101371,Tvwf4rsLLIo2X-CiAAAH,54,6,0.0152,182397,1925282,4360185
1777450102901,siRFufBEz-P9wDBFAAAF,28,11,0.0168,2141551,169238,323799
1777450101873,Tvwf4rsLLIo2X-CiAAAH,54,4,0.0152,168573,2236777,4360185
1777450103402,siRFufBEz-P9wDBFAAAF,28,12,0.0167,2221108,189667,334201
1777450102370,Tvwf4rsLLIo2X-CiAAAH,54,2,0.0152,190675,2181817,4360185
1777450103903,siRFufBEz-P9wDBFAAAF,28,16,0.0167,2075148,173242,340981
1777450102874,Tvwf4rsLLIo2X-CiAAAH,54,2,0.0152,172446,2206079,4360185
1777450104402,siRFufBEz-P9wDBFAAAF,28,18,0.0167,2163375,223829,351635
1777450103370,Tvwf4rsLLIo2X-CiAAAH,54,5,0.0152,224848,2307013,4360185
1777450104907,siRFufBEz-P9wDBFAAAF,30,15,0.0167,2475672,227788,364147
1777450103875,Tvwf4rsLLIo2X-CiAAAH,54,3,0.0152,228126,2490450,4360185
1777450105405,siRFufBEz-P9wDBFAAAF,30,12,0.0167,2230649,262996,377290
1777450104373,Tvwf4rsLLIo2X-CiAAAH,32,2,0.0152,262671,1941498,4360185
1777450105902,siRFufBEz-P9wDBFAAAF,30,14,0.0167,2109840,216532,383207
1777450104870,Tvwf4rsLLIo2X-CiAAAH,32,4,0.0152,216547,2252251,4360185
1777450106404,siRFufBEz-P9wDBFAAAF,30,14,0.0167,2237054,286471,397484
1777450105370,Tvwf4rsLLIo2X-CiAAAH,32,11,0.0152,287284,2013762,4360185
1777450106902,siRFufBEz-P9wDBFAAAF,30,14,0.0167,1994799,276572,412248
1777450105870,Tvwf4rsLLIo2X-CiAAAH,32,9,0.0152,275288,2060635,4360185
1777450107401,siRFufBEz-P9wDBFAAAF,30,11,0.0167,1708848,248268,427591
1777450106370,Tvwf4rsLLIo2X-CiAAAH,32,5,0.0152,248318,1981604,4360185
1777450107902,siRFufBEz-P9wDBFAAAF,27,12,0.0167,2291768,307006,441349
1777450106874,Tvwf4rsLLIo2X-CiAAAH,27,3,0.0152,289756,2175868,4360185
1777450108401,siRFufBEz-P9wDBFAAAF,27,15,0.0167,2247526,288859,457449
1777450107370,Tvwf4rsLLIo2X-CiAAAH,27,5,0.0152,290942,2083226,4360185
1777450108908,siRFufBEz-P9wDBFAAAF,27,13,0.0167,1805804,283083,466552
1777450107869,Tvwf4rsLLIo2X-CiAAAH,27,7,0.0151,301978,1893902,4360185
1777450109400,siRFufBEz-P9wDBFAAAF,27,11,0.0167,1810397,337418,486711
1777450108370,Tvwf4rsLLIo2X-CiAAAH,27,7,0.0151,299609,1647575,4360185
1777450109908,siRFufBEz-P9wDBFAAAF,27,10,0.0167,1422574,340130,508264
1777450108869,Tvwf4rsLLIo2X-CiAAAH,27,10,0.0151,377875,1565460,4360185
1777450110400,siRFufBEz-P9wDBFAAAF,27,7,0.0167,1759501,378187,530816
1777450109371,Tvwf4rsLLIo2X-CiAAAH,28,7,0.0151,371209,1949153,4360185
1777450110901,siRFufBEz-P9wDBFAAAF,27,10,0.0167,2326833,342907,554548
1777450109871,Tvwf4rsLLIo2X-CiAAAH,28,7,0.0151,344053,2077545,4360185
1777450111403,siRFufBEz-P9wDBFAAAF,27,8,0.0167,1806284,373025,567707
1777450110370,Tvwf4rsLLIo2X-CiAAAH,28,9,0.0151,375070,1730904,4360185
1777450111902,siRFufBEz-P9wDBFAAAF,27,17,0.0167,1730605,408105,581586
1777450110872,Tvwf4rsLLIo2X-CiAAAH,28,18,0.0151,385879,2281815,4360185
1777450112400,siRFufBEz-P9wDBFAAAF,27,24,0.0167,1762232,333081,355238
1777450111369,Tvwf4rsLLIo2X-CiAAAH,28,22,0.0151,306824,1528092,1672277
1777450112902,siRFufBEz-P9wDBFAAAF,0,30,0.0167,1645357,336569,0
1777450111873,Tvwf4rsLLIo2X-CiAAAH,0,41,0.0151,307838,1651455,0
1777450113407,siRFufBEz-P9wDBFAAAF,107,30,0.0167,1412500,295983,367629
1777450112369,Tvwf4rsLLIo2X-CiAAAH,144,105,0.0151,309817,1407605,1692966
1777450113902,siRFufBEz-P9wDBFAAAF,107,41,0.0167,1536065,327092,375694
1777450112869,Tvwf4rsLLIo2X-CiAAAH,144,145,0.0151,313175,1569000,1696707
1777450114408,siRFufBEz-P9wDBFAAAF,107,29,0.0167,1181221,227502,377445
1777450113370,Tvwf4rsLLIo2X-CiAAAH,144,67,0.0151,245455,991470,1696707
1777450114908,siRFufBEz-P9wDBFAAAF,107,29,0.0167,1106082,204735,377445
1777450113869,Tvwf4rsLLIo2X-CiAAAH,144,35,0.0151,192076,1296448,1696707
1777450115402,siRFufBEz-P9wDBFAAAF,107,22,0.0167,1094482,205829,377445
1777450114369,Tvwf4rsLLIo2X-CiAAAH,144,19,0.0151,220799,916310,1696707
1777450115905,siRFufBEz-P9wDBFAAAF,108,22,0.0167,1117521,185810,377445
1777450114874,Tvwf4rsLLIo2X-CiAAAH,112,12,0.0151,184669,1216349,1696707
1777450116405,siRFufBEz-P9wDBFAAAF,108,28,0.0167,1291318,264476,377445
1777450115369,Tvwf4rsLLIo2X-CiAAAH,112,11,0.0151,229650,1269163,1696707
1777450116902,siRFufBEz-P9wDBFAAAF,108,30,0.0167,1175475,200483,377446
1777450115873,Tvwf4rsLLIo2X-CiAAAH,112,11,0.0151,232324,1275587,1696708
1777450117401,siRFufBEz-P9wDBFAAAF,108,33,0.0167,1623694,269145,393450
1777450116369,Tvwf4rsLLIo2X-CiAAAH,112,10,0.0151,238156,1513221,1756032
1777450117901,siRFufBEz-P9wDBFAAAF,108,27,0.0167,1095456,278838,416181
1777450116869,Tvwf4rsLLIo2X-CiAAAH,112,10,0.0151,276801,1260859,1760816
1777450118401,siRFufBEz-P9wDBFAAAF,117,35,0.0167,1452965,252094,421035
1777450117370,Tvwf4rsLLIo2X-CiAAAH,115,13,0.0151,247876,1289402,1760816
1777450118901,siRFufBEz-P9wDBFAAAF,117,37,0.0167,1422079,286693,421035
1777450117870,Tvwf4rsLLIo2X-CiAAAH,115,22,0.0151,307399,1648764,1760817
1777450119403,siRFufBEz-P9wDBFAAAF,117,35,0.0167,1595066,273381,421035
1777450118370,Tvwf4rsLLIo2X-CiAAAH,115,16,0.0151,283577,1480255,1760817
1777450119908,siRFufBEz-P9wDBFAAAF,117,38,0.0167,979598,263593,421036
1777450120401,siRFufBEz-P9wDBFAAAF,117,38,0.0167,423075,289182,421036
1777450120900,siRFufBEz-P9wDBFAAAF,0,32,0.0168,389045,208105,0
1777450121401,siRFufBEz-P9wDBFAAAF,567,32,0.0168,259100,87752,138038
1777450120370,Tvwf4rsLLIo2X-CiAAAH,0,24,0.0152,84867,340378,0
1777450119369,Tvwf4rsLLIo2X-CiAAAH,115,31,0.0152,123666,1314712,1760817
1777450118870,Tvwf4rsLLIo2X-CiAAAH,115,14,0.0151,144112,1657395,1760817
1777450119869,Tvwf4rsLLIo2X-CiAAAH,0,24,0.0152,166381,885874,0
1777450121908,siRFufBEz-P9wDBFAAAF,567,32,0.0168,245581,100907,138971
1777450122405,siRFufBEz-P9wDBFAAAF,567,32,0.0168,235197,98342,138971
1777450120873,Tvwf4rsLLIo2X-CiAAAH,0,24,0.0152,87215,327851,0
1777450122900,siRFufBEz-P9wDBFAAAF,567,133,0.0169,394329,90261,138971
1777450123409,siRFufBEz-P9wDBFAAAF,567,125,0.0169,249662,99544,138971
1777450123902,siRFufBEz-P9wDBFAAAF,0,125,0.0169,132845,95914,0
1777450124402,siRFufBEz-P9wDBFAAAF,0,265,0.0169,242610,73724,0
1777450124909,siRFufBEz-P9wDBFAAAF,0,253,0.0169,147338,36463,0
