timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777407629163,pSYsvADIHlZ7390FAAAH,20,12,0.0184,0,0,119078
1777407629663,pSYsvADIHlZ7390FAAAH,20,17,0.0184,323568,36675,96400
1777407629599,6Fa_smciN0seBfHHAAAJ,19,15,0.0190,0,0,342670
1777407630164,pSYsvADIHlZ7390FAAAH,20,27,0.0184,285871,26551,96788
1777407630663,pSYsvADIHlZ7390FAAAH,20,27,0.0184,239305,41524,97196
1777407630593,6Fa_smciN0seBfHHAAAJ,0,11,0.0190,30507,259044,0
1777407631170,pSYsvADIHlZ7390FAAAH,20,14,0.0184,248442,24211,97196
1777407631662,pSYsvADIHlZ7390FAAAH,0,12,0.0184,228947,16790,0
1777407631594,6Fa_smciN0seBfHHAAAJ,310,21,0.0190,31238,244675,346101
1777407632170,pSYsvADIHlZ7390FAAAH,309,10,0.0184,225220,58471,97197
1777407632665,pSYsvADIHlZ7390FAAAH,309,10,0.0184,201381,41206,97197
1777407632594,6Fa_smciN0seBfHHAAAJ,310,31,0.0190,41965,197991,346101
1777407633165,pSYsvADIHlZ7390FAAAH,309,8,0.0184,172972,45102,107480
1777407633661,pSYsvADIHlZ7390FAAAH,309,5,0.0184,194076,23727,107480
1777407633596,6Fa_smciN0seBfHHAAAJ,308,20,0.0190,37632,193475,346101
1777407634164,pSYsvADIHlZ7390FAAAH,309,8,0.0184,226268,30036,107480
1777407634664,pSYsvADIHlZ7390FAAAH,362,19,0.0184,225955,33377,107480
1777407634595,6Fa_smciN0seBfHHAAAJ,308,18,0.0190,30280,233768,346102
1777407635165,pSYsvADIHlZ7390FAAAH,362,14,0.0184,244928,45554,110860
1777407635662,pSYsvADIHlZ7390FAAAH,362,11,0.0184,215176,27014,114356
1777407635594,6Fa_smciN0seBfHHAAAJ,308,15,0.0190,36804,226079,373532
1777407636170,pSYsvADIHlZ7390FAAAH,362,9,0.0184,233968,44170,122847
1777407636666,pSYsvADIHlZ7390FAAAH,362,6,0.0184,222131,45645,123954
1777407636594,6Fa_smciN0seBfHHAAAJ,309,10,0.0190,42753,227750,380276
