timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777418128486,yQUpc1vYOsWcZGwYAAAV,0,1464,0.0180,45545,64582,0
1777418126479,yQUpc1vYOsWcZGwYAAAV,528,1229,0.0180,34798,47935,96400
1777418127476,yQUpc1vYOsWcZGwYAAAV,528,1274,0.0180,43014,59595,96400
1777418129480,yQUpc1vYOsWcZGwYAAAV,0,1313,0.0180,45427,56882,0
1777418129726,27wRnDvT3U3PKQKDAAAP,0,1006.9999999999999,0.0172,0,0,0
1777418130479,yQUpc1vYOsWcZGwYAAAV,39,919,0.0180,0,0,96400
1777418130717,27wRnDvT3U3PKQKDAAAP,14,1190,0.0172,59703,66657,98400
1777418131479,yQUpc1vYOsWcZGwYAAAV,39,1049,0.0180,47724,54606,96400
1777418131722,27wRnDvT3U3PKQKDAAAP,14,1133,0.0172,47955,59838,96400
1777418132477,yQUpc1vYOsWcZGwYAAAV,39,930,0.0180,44570,56286,96400
1777418132722,27wRnDvT3U3PKQKDAAAP,14,1010.9999999999999,0.0172,40673,50436,96400
1777418133496,yQUpc1vYOsWcZGwYAAAV,8,370,0.0180,52448,51952,96400
1777418133721,27wRnDvT3U3PKQKDAAAP,11,625,0.0172,45020,52062,96400
1777418134478,yQUpc1vYOsWcZGwYAAAV,8,124,0.0180,40572,62090,107226
1777418134724,27wRnDvT3U3PKQKDAAAP,11,497,0.0172,63386,49239,107098
1777418135480,yQUpc1vYOsWcZGwYAAAV,20,78,0.0180,58047,69479,107226
1777418135718,27wRnDvT3U3PKQKDAAAP,11,634,0.0172,57124,59887,114110
1777418136477,yQUpc1vYOsWcZGwYAAAV,20,35,0.0180,34046,61358,107226
1777418136718,27wRnDvT3U3PKQKDAAAP,46,552,0.0172,56050,31470,114110
1777418137477,yQUpc1vYOsWcZGwYAAAV,20,22,0.0180,33239,67894,107227
1777418137720,27wRnDvT3U3PKQKDAAAP,46,559,0.0172,46442,31543,114110
1777418138478,yQUpc1vYOsWcZGwYAAAV,16,10,0.0180,28492,58719,107227
1777418138722,27wRnDvT3U3PKQKDAAAP,12,214,0.0172,75121,35328,114112
