timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777460847845,5APHScAb6Mf6H2DrAAAD,446,208,0.0096,0,0,96400
1777460848351,5APHScAb6Mf6H2DrAAAD,446,204,0.0096,23210,57081,96400
1777460844120,8tmeK4LhRAezU0UTAAAB,325,100,0.0084,0,0,96400
1777460843124,8tmeK4LhRAezU0UTAAAB,0,85,0.0084,46115,42594,0
1777460848846,5APHScAb6Mf6H2DrAAAD,446,183,0.0096,59066,56167,96400
1777460849344,5APHScAb6Mf6H2DrAAAD,0,178,0.0096,22740,41353,0
1777460849847,5APHScAb6Mf6H2DrAAAD,416,155,0.0096,76617,38770,96400
1777460846127,8tmeK4LhRAezU0UTAAAB,303,87,0.0084,50048,47139,96400
1777460845117,8tmeK4LhRAezU0UTAAAB,325,98,0.0084,42949,50133,96400
1777460850843,5APHScAb6Mf6H2DrAAAD,416,128,0.0096,29762,47120,96400
1777460850348,5APHScAb6Mf6H2DrAAAD,416,146,0.0096,16624,49070,96400
1777460851352,5APHScAb6Mf6H2DrAAAD,416,121,0.0097,35111,56618,96400
1777460847125,8tmeK4LhRAezU0UTAAAB,303,94,0.0084,24522,46264,96400
1777460851844,5APHScAb6Mf6H2DrAAAD,0,123,0.0097,35206,52083,0
1777460848119,8tmeK4LhRAezU0UTAAAB,303,97,0.0084,48103,53523,96400
1777460852347,5APHScAb6Mf6H2DrAAAD,296,115,0.0097,56981,57219,96400
1777460849118,8tmeK4LhRAezU0UTAAAB,334,116,0.0084,51598,35434,96400
1777460853350,5APHScAb6Mf6H2DrAAAD,296,87,0.0097,36831,41018,96400
1777460852843,5APHScAb6Mf6H2DrAAAD,296,104,0.0097,24738,46125,96400
1777460853847,5APHScAb6Mf6H2DrAAAD,296,79,0.0097,44925,50762,96400
1777460850120,8tmeK4LhRAezU0UTAAAB,334,96,0.0084,35896,45523,96400
1777460854345,5APHScAb6Mf6H2DrAAAD,0,73,0.0097,33740,40810,0
1777460854845,5APHScAb6Mf6H2DrAAAD,324,76,0.0097,34276,51654,96400
1777460855343,5APHScAb6Mf6H2DrAAAD,324,75,0.0097,42767,51707,96400
1777460855846,5APHScAb6Mf6H2DrAAAD,324,71,0.0097,38509,52976,96400
