timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1777403428606,r5giGOtL-k8Yp_7SAAAF,192,58,0.0157,0,0,96400
1777403428787,pSYsvADIHlZ7390FAAAH,1049,76,0.0158,0,0,96400
1777403429604,r5giGOtL-k8Yp_7SAAAF,192,49,0.0157,51789,45623,96400
1777403429778,pSYsvADIHlZ7390FAAAH,130,58,0.0158,54251,47770,96400
1777403430606,r5giGOtL-k8Yp_7SAAAF,192,36,0.0157,27501,49293,98246
1777403430779,pSYsvADIHlZ7390FAAAH,130,63,0.0158,41079,31660,96400
1777403431604,r5giGOtL-k8Yp_7SAAAF,122,52,0.0157,51536,56627,106291
1777403431780,pSYsvADIHlZ7390FAAAH,130,80,0.0158,56415,50031,96401
1777403432605,r5giGOtL-k8Yp_7SAAAF,122,70,0.0157,55965,47837,117943
1777403432779,pSYsvADIHlZ7390FAAAH,128,73,0.0158,47866,52770,114366
1777403433607,r5giGOtL-k8Yp_7SAAAF,125,70,0.0157,35496,56423,124317
1777403433779,pSYsvADIHlZ7390FAAAH,128,92,0.0158,56577,49561,115469
1777403434604,r5giGOtL-k8Yp_7SAAAF,125,52,0.0157,53477,57123,131905
1777403434782,pSYsvADIHlZ7390FAAAH,170,96,0.0158,62316,45464,137804
1777403435605,r5giGOtL-k8Yp_7SAAAF,125,35,0.0157,33583,46398,140400
1777403435789,pSYsvADIHlZ7390FAAAH,170,64,0.0158,40555,29509,141159
1777403436603,r5giGOtL-k8Yp_7SAAAF,125,15,0.0157,63734,42455,143830
1777403436780,pSYsvADIHlZ7390FAAAH,170,40,0.0158,45917,65517,145159
1777403437608,r5giGOtL-k8Yp_7SAAAF,125,16,0.0157,49592,49528,146217
1777403437778,pSYsvADIHlZ7390FAAAH,184,26,0.0158,44507,52263,153891
1777403438603,r5giGOtL-k8Yp_7SAAAF,125,18,0.0157,68136,42767,147863
1777403438778,pSYsvADIHlZ7390FAAAH,184,29,0.0158,45665,61400,162583
1777403439606,r5giGOtL-k8Yp_7SAAAF,163,19,0.0157,67687,39545,147863
1777403439778,pSYsvADIHlZ7390FAAAH,184,27,0.0158,41800,69039,162583
1777403440603,r5giGOtL-k8Yp_7SAAAF,163,14,0.0157,50727,63554,147863
1777403440777,pSYsvADIHlZ7390FAAAH,258,28,0.0158,59754,50576,166876
1777403441608,r5giGOtL-k8Yp_7SAAAF,139,12,0.0157,57096,74897,153732
1777403441778,pSYsvADIHlZ7390FAAAH,258,24,0.0158,78014,63611,166876
1777403442605,r5giGOtL-k8Yp_7SAAAF,139,12,0.0157,73311,77873,163337
1777403442780,pSYsvADIHlZ7390FAAAH,180,22,0.0158,73866,68572,173020
1777403443606,r5giGOtL-k8Yp_7SAAAF,139,11,0.0157,58817,69282,163337
1777403443781,pSYsvADIHlZ7390FAAAH,180,21,0.0158,62804,58757,180296
