timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775050603364,pUGjlmEbcOkSLl-yAAAE,0,10,0.0137,0,0,0
1775050604858,kCtNDfGzjn2kbQXlAAAB,13,20,0.0132,0,0,104056
1775050603864,pUGjlmEbcOkSLl-yAAAE,246,21,0.0137,78465,44097,113042
1775050604364,pUGjlmEbcOkSLl-yAAAE,246,34,0.0137,61117,36411,118445
1775050605858,kCtNDfGzjn2kbQXlAAAB,13,17,0.0132,40220,55251,109058
1775050604865,pUGjlmEbcOkSLl-yAAAE,246,37,0.0137,37065,40350,125401
1775050605364,pUGjlmEbcOkSLl-yAAAE,246,35,0.0137,27654,40198,93178
1775050606848,kCtNDfGzjn2kbQXlAAAB,13,25,0.0132,40591,28819,115015
1775050605865,pUGjlmEbcOkSLl-yAAAE,0,31,0.0137,29407,29936,0
1775050606365,pUGjlmEbcOkSLl-yAAAE,211,24,0.0137,34143,27571,98371
1775050607854,kCtNDfGzjn2kbQXlAAAB,217,18,0.0132,33292,31709,118399
1775050606864,pUGjlmEbcOkSLl-yAAAE,211,24,0.0137,29262,36739,100671
1775050607364,pUGjlmEbcOkSLl-yAAAE,211,24,0.0137,36066,31021,92400
1775050608852,kCtNDfGzjn2kbQXlAAAB,217,22,0.0132,29071,35125,92806
1775050607864,pUGjlmEbcOkSLl-yAAAE,211,23,0.0137,24370,28205,94214
1775050608364,pUGjlmEbcOkSLl-yAAAE,211,29,0.0137,47051,35957,96229
1775050609848,kCtNDfGzjn2kbQXlAAAB,0,30,0.0132,32129,31550,0
1775050608872,pUGjlmEbcOkSLl-yAAAE,226,30,0.0137,15673,23809,92400
1775050609373,pUGjlmEbcOkSLl-yAAAE,226,27,0.0137,32354,33792,92909
1775050610858,kCtNDfGzjn2kbQXlAAAB,295,24,0.0132,34029,25522,92935
1775050609865,pUGjlmEbcOkSLl-yAAAE,226,24,0.0137,32229,22534,94471
1775050610365,pUGjlmEbcOkSLl-yAAAE,226,20,0.0137,33886,35056,95504
1775050611852,kCtNDfGzjn2kbQXlAAAB,295,28,0.0132,23354,32013,97674
1775050610864,pUGjlmEbcOkSLl-yAAAE,226,17,0.0137,26950,41299,99474
1775050611364,pUGjlmEbcOkSLl-yAAAE,0,14,0.0137,24665,25867,0
1775050612853,kCtNDfGzjn2kbQXlAAAB,231,22,0.0132,33474,29380,102476
1775050611864,pUGjlmEbcOkSLl-yAAAE,247,19,0.0137,33422,24609,102936
1775050612364,pUGjlmEbcOkSLl-yAAAE,247,19,0.0137,33730,32738,106065
1775050613857,kCtNDfGzjn2kbQXlAAAB,231,25,0.0132,28501,28119,109050
1775050612864,pUGjlmEbcOkSLl-yAAAE,247,20,0.0137,33961,32199,108599
1775050613365,pUGjlmEbcOkSLl-yAAAE,247,18,0.0137,30375,26758,109830
1775050614853,kCtNDfGzjn2kbQXlAAAB,231,21,0.0132,29595,38428,113429
1775050613877,pUGjlmEbcOkSLl-yAAAE,247,16,0.0137,38553,22863,112950
1775050614365,pUGjlmEbcOkSLl-yAAAE,301,18,0.0137,39774,36474,115488
1775050615853,kCtNDfGzjn2kbQXlAAAB,223,22,0.0132,34296,32183,118560
1775050614875,pUGjlmEbcOkSLl-yAAAE,301,21,0.0137,21960,36249,92400
1775050615364,pUGjlmEbcOkSLl-yAAAE,301,22,0.0137,46029,32643,93367
