timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775046402363,pUGjlmEbcOkSLl-yAAAE,336,24,0.0158,0,0,849906
1775046403866,kCtNDfGzjn2kbQXlAAAB,328,16,0.0146,0,0,3662085
1775046402864,pUGjlmEbcOkSLl-yAAAE,39,21,0.0158,2014356,704456,849906
1775046403364,pUGjlmEbcOkSLl-yAAAE,39,15,0.0157,2117632,599717,852864
1775046404867,kCtNDfGzjn2kbQXlAAAB,328,18,0.0146,644287,2209708,3662085
1775046403876,pUGjlmEbcOkSLl-yAAAE,39,16,0.0157,2107907,617922,873339
1775046404364,pUGjlmEbcOkSLl-yAAAE,39,11,0.0157,1964799,697873,891541
1775046405867,kCtNDfGzjn2kbQXlAAAB,29,15,0.0146,655149,1977398,3678637
1775046404874,pUGjlmEbcOkSLl-yAAAE,39,14,0.0157,2239137,645467,909204
1775046405364,pUGjlmEbcOkSLl-yAAAE,37,17,0.0157,2851451,660995,918939
1775046406867,kCtNDfGzjn2kbQXlAAAB,29,16,0.0146,649462,2526653,3772535
1775046405864,pUGjlmEbcOkSLl-yAAAE,37,17,0.0157,2263839,677122,934232
1775046406366,pUGjlmEbcOkSLl-yAAAE,37,16,0.0157,2494587,733715,952012
1775046407867,kCtNDfGzjn2kbQXlAAAB,29,13,0.0146,687333,2319801,3991050
1775046406864,pUGjlmEbcOkSLl-yAAAE,37,14,0.0157,1954190,769111,970206
1775046407365,pUGjlmEbcOkSLl-yAAAE,37,11,0.0157,2108666,693881,988844
1775046408866,kCtNDfGzjn2kbQXlAAAB,34,16,0.0146,784469,1862536,3991050
1775046407865,pUGjlmEbcOkSLl-yAAAE,37,11,0.0157,1418126,744115,736592
1775046408364,pUGjlmEbcOkSLl-yAAAE,132,19,0.0157,1203606,630078,747014
1775046409866,kCtNDfGzjn2kbQXlAAAB,34,25,0.0146,662792,1576113,1447620
1775046408864,pUGjlmEbcOkSLl-yAAAE,132,29,0.0156,1766279,619542,656921
1775046409364,pUGjlmEbcOkSLl-yAAAE,132,34,0.0156,1333432,457565,660228
1775046410865,kCtNDfGzjn2kbQXlAAAB,25,12,0.0146,510702,1313690,1462700
1775046409864,pUGjlmEbcOkSLl-yAAAE,132,37,0.0156,1349516,528085,665221
1775046410364,pUGjlmEbcOkSLl-yAAAE,132,27,0.0156,1167866,339560,679228
1775046411866,kCtNDfGzjn2kbQXlAAAB,25,10,0.0146,431861,1263567,1493689
1775046410864,pUGjlmEbcOkSLl-yAAAE,39,23,0.0156,1194972,495883,690438
1775046411375,pUGjlmEbcOkSLl-yAAAE,39,31,0.0156,1265637,432620,699714
1775046412869,kCtNDfGzjn2kbQXlAAAB,25,14,0.0146,470748,1178521,1523503
1775046411873,pUGjlmEbcOkSLl-yAAAE,39,23,0.0156,1008344,585015,718572
1775046412364,pUGjlmEbcOkSLl-yAAAE,39,17,0.0156,1051156,501506,737124
1775046413870,kCtNDfGzjn2kbQXlAAAB,13,12,0.0146,528659,928926,1566562
1775046412864,pUGjlmEbcOkSLl-yAAAE,39,13,0.0156,913334,638148,757449
1775046413365,pUGjlmEbcOkSLl-yAAAE,39,18,0.0156,1303542,525770,774967
1775046414867,kCtNDfGzjn2kbQXlAAAB,13,21,0.0146,576910,1223990,1598345
1775046413876,pUGjlmEbcOkSLl-yAAAE,40,24,0.0156,1267940,631390,787105
1775046414375,pUGjlmEbcOkSLl-yAAAE,40,28,0.0156,1369045,764441,807916
1775046415866,kCtNDfGzjn2kbQXlAAAB,13,31,0.0145,714717,1318882,1636272
1775046414864,pUGjlmEbcOkSLl-yAAAE,40,24,0.0156,1213031,671308,827125
1775046415369,pUGjlmEbcOkSLl-yAAAE,40,19,0.0156,1172147,584651,837700
1775046416869,kCtNDfGzjn2kbQXlAAAB,12,19,0.0145,636491,1130053,1669627
1775046415865,pUGjlmEbcOkSLl-yAAAE,40,16,0.0156,1017086,534875,859008
1775046416379,pUGjlmEbcOkSLl-yAAAE,9,14,0.0156,1207270,552532,878011
1775046417872,kCtNDfGzjn2kbQXlAAAB,12,11,0.0145,507450,1171481,1703235
1775046416864,pUGjlmEbcOkSLl-yAAAE,9,19,0.0156,1354920,578856,895137
1775046417364,pUGjlmEbcOkSLl-yAAAE,9,21,0.0155,1276336,585869,905081
1775046418865,kCtNDfGzjn2kbQXlAAAB,17,13,0.0145,652069,1354446,1741008
1775046417865,pUGjlmEbcOkSLl-yAAAE,9,18,0.0155,1373689,725031,926043
1775046418364,pUGjlmEbcOkSLl-yAAAE,9,18,0.0155,1602622,571970,945605
