timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775043662205,X55bbckoqhBLypM6AAAF,66,14,0.0000,0,0,1385172
1775043663861,vQWpC7oaChhHB9TeAAAD,52,18,0.0000,0,0,838376
1775043662707,X55bbckoqhBLypM6AAAF,66,20,0.0000,783049,734967,886628
1775043663206,X55bbckoqhBLypM6AAAF,66,24,0.0000,814583,734160,892448
1775043664857,vQWpC7oaChhHB9TeAAAD,52,21,0.0000,824604,842233,872430
1775043663707,X55bbckoqhBLypM6AAAF,66,107,0.0000,859956,822773,905102
1775043664206,X55bbckoqhBLypM6AAAF,66,93,0.0000,787774,921544,921628
1775043665860,vQWpC7oaChhHB9TeAAAD,52,21,0.0000,765716,737921,893430
1775043664707,X55bbckoqhBLypM6AAAF,38,56,0.0000,634730,707802,935599
1775043665207,X55bbckoqhBLypM6AAAF,38,32,0.0000,542459,606966,943823
1775043666860,vQWpC7oaChhHB9TeAAAD,31,13,0.0000,617806,540523,919874
1775043665706,X55bbckoqhBLypM6AAAF,38,18,0.0000,561978,610736,959971
1775043666206,X55bbckoqhBLypM6AAAF,38,17,0.0000,498514,696523,969428
1775043667858,vQWpC7oaChhHB9TeAAAD,31,16,0.0000,659369,617126,941687
1775043666706,X55bbckoqhBLypM6AAAF,38,19,0.0000,706526,650893,989116
1775043667206,X55bbckoqhBLypM6AAAF,38,14,0.0000,597661,607638,1008536
