timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775045801864,pUGjlmEbcOkSLl-yAAAE,93,15,0.0092,0,0,97059
1775045802377,pUGjlmEbcOkSLl-yAAAE,93,12,0.0092,36979,26071,97059
1775045803876,kCtNDfGzjn2kbQXlAAAB,72,16,0.0085,0,0,96159
1775045802863,pUGjlmEbcOkSLl-yAAAE,33,11,0.0092,31030,30404,97059
1775045803364,pUGjlmEbcOkSLl-yAAAE,33,9,0.0092,34883,31315,97059
1775045804866,kCtNDfGzjn2kbQXlAAAB,38,12,0.0085,31552,35667,96159
1775045803865,pUGjlmEbcOkSLl-yAAAE,33,10,0.0092,24964,34972,97059
1775045805865,kCtNDfGzjn2kbQXlAAAB,38,27,0.0085,32925,28004,97354
1775045804364,pUGjlmEbcOkSLl-yAAAE,33,10,0.0092,20278,40477,97059
1775045804864,pUGjlmEbcOkSLl-yAAAE,33,17,0.0092,34296,46902,92400
1775045805364,pUGjlmEbcOkSLl-yAAAE,26,21,0.0092,41486,27791,92400
1775045806870,kCtNDfGzjn2kbQXlAAAB,38,22,0.0085,31192,32739,117448
1775045805864,pUGjlmEbcOkSLl-yAAAE,26,25,0.0092,40219,29904,92400
1775045806368,pUGjlmEbcOkSLl-yAAAE,26,21,0.0092,36691,33135,92400
1775045807872,kCtNDfGzjn2kbQXlAAAB,29,20,0.0085,32844,44134,132498
1775045806865,pUGjlmEbcOkSLl-yAAAE,26,17,0.0092,48403,27758,92400
1775045807365,pUGjlmEbcOkSLl-yAAAE,26,28,0.0092,89911,30120,92400
1775045808866,kCtNDfGzjn2kbQXlAAAB,29,20,0.0085,27548,77485,153072
1775045807864,pUGjlmEbcOkSLl-yAAAE,26,30,0.0092,81704,33776,92400
1775045808363,pUGjlmEbcOkSLl-yAAAE,36,30,0.0092,69168,41177,92400
1775045809869,kCtNDfGzjn2kbQXlAAAB,24,17,0.0085,30611,64336,194593
1775045808873,pUGjlmEbcOkSLl-yAAAE,36,26,0.0092,55253,14273,92400
1775045809373,pUGjlmEbcOkSLl-yAAAE,36,18,0.0092,102007,34419,92401
