timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775047303365,pUGjlmEbcOkSLl-yAAAE,632,54,0.0149,0,0,92400
1775047304854,kCtNDfGzjn2kbQXlAAAB,169,85,0.0140,0,0,125483
1775047303864,pUGjlmEbcOkSLl-yAAAE,632,39,0.0149,50082,35346,94868
1775047304375,pUGjlmEbcOkSLl-yAAAE,632,33,0.0149,41600,43936,95224
1775047305845,kCtNDfGzjn2kbQXlAAAB,169,54,0.0140,39212,51661,125483
1775047304864,pUGjlmEbcOkSLl-yAAAE,632,34,0.0149,40666,26718,102617
1775047305372,pUGjlmEbcOkSLl-yAAAE,0,34,0.0149,54951,39014,0
1775047306844,kCtNDfGzjn2kbQXlAAAB,169,42,0.0140,29780,45790,125483
1775047305865,pUGjlmEbcOkSLl-yAAAE,139,34,0.0149,53402,44100,104659
1775047306364,pUGjlmEbcOkSLl-yAAAE,139,37,0.0149,59196,42097,104660
1775047307845,kCtNDfGzjn2kbQXlAAAB,173,40,0.0140,47748,43488,125484
1775047306864,pUGjlmEbcOkSLl-yAAAE,139,34,0.0149,40488,31115,117145
1775047307365,pUGjlmEbcOkSLl-yAAAE,139,24,0.0149,43635,59620,122312
1775047308850,kCtNDfGzjn2kbQXlAAAB,173,39,0.0140,46006,48770,163397
1775047307864,pUGjlmEbcOkSLl-yAAAE,139,20,0.0149,45500,44408,125043
1775047308364,pUGjlmEbcOkSLl-yAAAE,148,12,0.0149,45094,49454,129815
1775047309851,kCtNDfGzjn2kbQXlAAAB,173,18,0.0140,47231,48749,172888
1775047308864,pUGjlmEbcOkSLl-yAAAE,148,10,0.0149,57731,33989,134636
1775047309363,pUGjlmEbcOkSLl-yAAAE,148,8,0.0149,63685,39817,138786
1775047310847,kCtNDfGzjn2kbQXlAAAB,132,14,0.0140,38129,63664,177121
1775047309865,pUGjlmEbcOkSLl-yAAAE,148,6,0.0149,67475,44387,139992
1775047310364,pUGjlmEbcOkSLl-yAAAE,148,5,0.0149,62501,49040,142635
1775047311854,kCtNDfGzjn2kbQXlAAAB,132,8,0.0140,46845,64945,186647
1775047310864,pUGjlmEbcOkSLl-yAAAE,0,4,0.0149,72630,41510,0
1775047311365,pUGjlmEbcOkSLl-yAAAE,150,5,0.0149,104667,55820,155290
1775047312844,kCtNDfGzjn2kbQXlAAAB,137,7,0.0140,53896,115054,198389
1775047311864,pUGjlmEbcOkSLl-yAAAE,150,14,0.0149,132948,70621,158067
1775047312364,pUGjlmEbcOkSLl-yAAAE,150,10,0.0149,90887,85072,164543
1775047313845,kCtNDfGzjn2kbQXlAAAB,137,6,0.0140,77787,95665,212354
1775047312873,pUGjlmEbcOkSLl-yAAAE,150,8,0.0149,99827,73497,171274
1775047313371,pUGjlmEbcOkSLl-yAAAE,150,8,0.0149,142155,86108,178246
1775047314851,kCtNDfGzjn2kbQXlAAAB,137,8,0.0140,78893,160180,230991
