timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1775049703364,pUGjlmEbcOkSLl-yAAAE,45,14,0.0146,0,0,380055
1775049703863,pUGjlmEbcOkSLl-yAAAE,45,14,0.0146,151392,241316,380055
1775049704852,kCtNDfGzjn2kbQXlAAAB,46,8,0.0140,0,0,416117
1775049704365,pUGjlmEbcOkSLl-yAAAE,45,11,0.0146,226784,227471,243337
1775049704864,pUGjlmEbcOkSLl-yAAAE,0,10,0.0146,214518,130167,0
1775049705851,kCtNDfGzjn2kbQXlAAAB,0,20,0.0140,208292,222524,0
1775049705374,pUGjlmEbcOkSLl-yAAAE,0,10,0.0146,121297,129937,0
1775049705873,pUGjlmEbcOkSLl-yAAAE,1029,18,0.0146,110340,136759,170840
1775049706853,kCtNDfGzjn2kbQXlAAAB,1025,18,0.0140,157866,143070,190736
1775049706365,pUGjlmEbcOkSLl-yAAAE,1029,126,0.0146,119033,96035,170840
1775049706864,pUGjlmEbcOkSLl-yAAAE,1029,131,0.0146,37776,0,174824
1775049707849,kCtNDfGzjn2kbQXlAAAB,1025,219,0.0140,128277,44356,192731
1775049707365,pUGjlmEbcOkSLl-yAAAE,1029,131,0.0146,0,31646,176878
1775049707865,pUGjlmEbcOkSLl-yAAAE,0,124,0.0146,86892,0,0
1775049708848,kCtNDfGzjn2kbQXlAAAB,0,269,0.0140,26140,51151,0
1775049708365,pUGjlmEbcOkSLl-yAAAE,0,133,0.0146,15360,86060,0
1775049708865,pUGjlmEbcOkSLl-yAAAE,0,126,0.0146,21030,134420,0
1775049709852,kCtNDfGzjn2kbQXlAAAB,1066,256,0.0140,15792,17871,92400
1775049709372,pUGjlmEbcOkSLl-yAAAE,0,119,0.0146,44753,65785,0
1775049709864,pUGjlmEbcOkSLl-yAAAE,1022.9999999999999,136,0.0146,49914,54095,176878
1775049710848,kCtNDfGzjn2kbQXlAAAB,1020,180,0.0140,99638,52011,92400
1775049710365,pUGjlmEbcOkSLl-yAAAE,1022.9999999999999,140,0.0146,52623,21145,176878
1775049710865,pUGjlmEbcOkSLl-yAAAE,1022.9999999999999,153,0.0146,24349,16543,176878
1775049711848,kCtNDfGzjn2kbQXlAAAB,1020,185,0.0140,49694,38807,92400
1775049711365,pUGjlmEbcOkSLl-yAAAE,0,150,0.0146,14004,47112,0
1775049711865,pUGjlmEbcOkSLl-yAAAE,0,132,0.0146,67503,38282,0
1775049712854,kCtNDfGzjn2kbQXlAAAB,0,174,0.0140,8239,51197,0
1775049712375,pUGjlmEbcOkSLl-yAAAE,1056,139,0.0146,34632,21195,176878
1775049712864,pUGjlmEbcOkSLl-yAAAE,1056,129,0.0146,40219,19413,92400
1775049713848,kCtNDfGzjn2kbQXlAAAB,0,178,0.0140,53737,52319,0
1775049713366,pUGjlmEbcOkSLl-yAAAE,1056,108,0.0146,57029,40104,92400
1775049713865,pUGjlmEbcOkSLl-yAAAE,0,98,0.0146,29473,50047,0
1775049714850,kCtNDfGzjn2kbQXlAAAB,1041,157,0.0140,14216,52339,102758
1775049714377,pUGjlmEbcOkSLl-yAAAE,0,86,0.0146,39003,52542,0
1775049714864,pUGjlmEbcOkSLl-yAAAE,0,68,0.0146,60842,52954,0
1775049715364,pUGjlmEbcOkSLl-yAAAE,1051,62,0.0146,48794,39291,92400
1775049715848,kCtNDfGzjn2kbQXlAAAB,1041,99,0.0140,41744,48154,102760
1775049715865,pUGjlmEbcOkSLl-yAAAE,1051,58,0.0146,18558,36249,94375
1775049716366,pUGjlmEbcOkSLl-yAAAE,1051,59,0.0146,51863,52741,95904
1775049716851,kCtNDfGzjn2kbQXlAAAB,0,66,0.0140,49887,29763,0
1775049716864,pUGjlmEbcOkSLl-yAAAE,0,71,0.0146,36776,48277,0
1775049717848,kCtNDfGzjn2kbQXlAAAB,1012.9999999999999,57,0.0140,32494,42319,92400
1775049717364,pUGjlmEbcOkSLl-yAAAE,0,68,0.0146,27509,48551,0
1775049717865,pUGjlmEbcOkSLl-yAAAE,1027,66,0.0146,30906,44895,92400
1775049718848,kCtNDfGzjn2kbQXlAAAB,0,62,0.0140,45758,55529,0
1775049718364,pUGjlmEbcOkSLl-yAAAE,1027,69,0.0146,56473,35879,92400
1775049718864,pUGjlmEbcOkSLl-yAAAE,1027,65,0.0146,35594,41953,92400
1775049719846,kCtNDfGzjn2kbQXlAAAB,1014,77,0.0140,33705,42390,92400
1775049719367,pUGjlmEbcOkSLl-yAAAE,0,67,0.0146,59724,61490,0
1775049719864,pUGjlmEbcOkSLl-yAAAE,0,64,0.0146,15878,39301,0
1775049720852,kCtNDfGzjn2kbQXlAAAB,1014,86,0.0140,42282,48545,104305
1775049720364,pUGjlmEbcOkSLl-yAAAE,0,72,0.0146,31168,49532,0
1775049720875,pUGjlmEbcOkSLl-yAAAE,0,70,0.0146,30340,36612,0
1775049721848,kCtNDfGzjn2kbQXlAAAB,0,75,0.0140,47918,41612,0
1775049721365,pUGjlmEbcOkSLl-yAAAE,0,71,0.0146,46691,32695,0
1775049721864,pUGjlmEbcOkSLl-yAAAE,0,67,0.0146,36444,60327,0
1775049722847,kCtNDfGzjn2kbQXlAAAB,1048,67,0.0140,38014,48277,92400
1775049722365,pUGjlmEbcOkSLl-yAAAE,1034,57,0.0146,51344,50959,107215
1775049722864,pUGjlmEbcOkSLl-yAAAE,1034,47,0.0146,54987,42159,92400
1775049723850,kCtNDfGzjn2kbQXlAAAB,1048,63,0.0140,37717,43135,92400
1775049723364,pUGjlmEbcOkSLl-yAAAE,1034,45,0.0146,40845,50303,93383
1775049723863,pUGjlmEbcOkSLl-yAAAE,0,37,0.0146,23913,44424,0
1775049724849,kCtNDfGzjn2kbQXlAAAB,0,63,0.0140,37044,37124,0
1775049724371,pUGjlmEbcOkSLl-yAAAE,0,36,0.0146,36419,47690,0
1775049724865,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,32,0.0146,26047,39761,92400
1775049725852,kCtNDfGzjn2kbQXlAAAB,1018,62,0.0140,37842,40270,92400
1775049725366,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,39,0.0146,52248,47421,92400
1775049725864,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,40,0.0146,55552,42163,92400
1775049726849,kCtNDfGzjn2kbQXlAAAB,0,59,0.0140,41823,50637,0
1775049726365,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,51,0.0146,36613,37237,92400
1775049726864,pUGjlmEbcOkSLl-yAAAE,0,53,0.0146,46920,42268,0
1775049727849,kCtNDfGzjn2kbQXlAAAB,0,65,0.0140,32803,32081,0
1775049727364,pUGjlmEbcOkSLl-yAAAE,0,51,0.0146,30780,52864,0
1775049727865,pUGjlmEbcOkSLl-yAAAE,1028,54,0.0146,33821,62210,92400
1775049728853,kCtNDfGzjn2kbQXlAAAB,0,66,0.0140,43993,50123,0
1775049728372,pUGjlmEbcOkSLl-yAAAE,1028,53,0.0146,20960,49076,92401
1775049728864,pUGjlmEbcOkSLl-yAAAE,1028,64,0.0146,55054,33489,103949
1775049729846,kCtNDfGzjn2kbQXlAAAB,1018.9999999999999,78,0.0140,42933,46714,92401
1775049729369,pUGjlmEbcOkSLl-yAAAE,0,74,0.0146,48344,32907,0
1775049729865,pUGjlmEbcOkSLl-yAAAE,0,74,0.0146,48818,51697,0
1775049730847,kCtNDfGzjn2kbQXlAAAB,1018.9999999999999,64,0.0140,36857,49863,92401
1775049730365,pUGjlmEbcOkSLl-yAAAE,0,65,0.0146,30114,45748,0
1775049730865,pUGjlmEbcOkSLl-yAAAE,0,69,0.0146,32190,38058,0
1775049731847,kCtNDfGzjn2kbQXlAAAB,0,44,0.0140,41516,49332,0
1775049731365,pUGjlmEbcOkSLl-yAAAE,0,62,0.0146,50521,46748,0
1775049731864,pUGjlmEbcOkSLl-yAAAE,0,63,0.0146,65831,37206,0
1775049732847,kCtNDfGzjn2kbQXlAAAB,1026,28,0.0140,44551,54059,94576
1775049732364,pUGjlmEbcOkSLl-yAAAE,0,64,0.0146,34413,37329,0
1775049732864,pUGjlmEbcOkSLl-yAAAE,0,56,0.0146,32037,53951,0
1775049733851,kCtNDfGzjn2kbQXlAAAB,1026,18,0.0140,34383,24411,117019
1775049733364,pUGjlmEbcOkSLl-yAAAE,0,61,0.0146,25680,31051,0
1775049734849,kCtNDfGzjn2kbQXlAAAB,0,10,0.0140,37258,44813,0
1775049734365,pUGjlmEbcOkSLl-yAAAE,1056,54,0.0146,56405,45434,126266
1775049733864,pUGjlmEbcOkSLl-yAAAE,0,62,0.0146,43139,48457,0
1775049734865,pUGjlmEbcOkSLl-yAAAE,1056,61,0.0146,35915,49963,126268
1775049735852,kCtNDfGzjn2kbQXlAAAB,1039,8,0.0140,45336,53759,117019
1775049735365,pUGjlmEbcOkSLl-yAAAE,1056,69,0.0146,37842,41019,126268
1775049735864,pUGjlmEbcOkSLl-yAAAE,1056,72,0.0146,40015,44240,126268
1775049736848,kCtNDfGzjn2kbQXlAAAB,0,7,0.0140,42846,32546,0
1775049736364,pUGjlmEbcOkSLl-yAAAE,0,61,0.0146,38363,36120,0
1775049736863,pUGjlmEbcOkSLl-yAAAE,0,44,0.0146,61749,51329,0
1775049737849,kCtNDfGzjn2kbQXlAAAB,0,19,0.0140,33097,46281,0
1775049737364,pUGjlmEbcOkSLl-yAAAE,1033,41,0.0146,23727,55501,95049
1775049737864,pUGjlmEbcOkSLl-yAAAE,1033,31,0.0146,37963,39165,99513
1775049738851,kCtNDfGzjn2kbQXlAAAB,0,23,0.0140,46388,33730,0
1775049738365,pUGjlmEbcOkSLl-yAAAE,1033,26,0.0146,23279,37057,102383
1775049738865,pUGjlmEbcOkSLl-yAAAE,0,20,0.0146,49238,40588,0
1775049739851,kCtNDfGzjn2kbQXlAAAB,0,39,0.0140,47152,50973,0
1775049739364,pUGjlmEbcOkSLl-yAAAE,0,20,0.0146,44925,57520,0
1775049739864,pUGjlmEbcOkSLl-yAAAE,0,22,0.0146,46363,33057,0
1775049740847,kCtNDfGzjn2kbQXlAAAB,0,30,0.0140,35753,45722,0
1775049740364,pUGjlmEbcOkSLl-yAAAE,0,16,0.0146,40350,43615,0
1775049740865,pUGjlmEbcOkSLl-yAAAE,0,12,0.0146,35592,40203,0
1775049741849,kCtNDfGzjn2kbQXlAAAB,1043,17,0.0141,31725,42553,122528
1775049741367,pUGjlmEbcOkSLl-yAAAE,0,9,0.0146,30256,35248,0
1775049741864,pUGjlmEbcOkSLl-yAAAE,0,13,0.0146,35635,31893,0
1775049742852,kCtNDfGzjn2kbQXlAAAB,0,12,0.0141,35593,46893,0
1775049742364,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,10,0.0147,36505,34169,108368
1775049742865,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,9,0.0147,38665,40765,108368
1775049743852,kCtNDfGzjn2kbQXlAAAB,1029,11,0.0141,34676,49535,122528
1775049743365,pUGjlmEbcOkSLl-yAAAE,1016.9999999999999,7,0.0147,41116,47050,128711
1775049743872,pUGjlmEbcOkSLl-yAAAE,0,9,0.0147,64693,48761,0
1775049744850,kCtNDfGzjn2kbQXlAAAB,1029,13,0.0141,32139,52840,122528
1775049744364,pUGjlmEbcOkSLl-yAAAE,0,15,0.0147,25171,56619,0
1775049745850,kCtNDfGzjn2kbQXlAAAB,0,12,0.0141,47965,40979,0
1775049744865,pUGjlmEbcOkSLl-yAAAE,1012,15,0.0147,16425,43034,128711
1775049745365,pUGjlmEbcOkSLl-yAAAE,1012,27,0.0147,100786,41173,128711
1775049745872,pUGjlmEbcOkSLl-yAAAE,1012,31,0.0147,62193,63742,128711
1775049746369,pUGjlmEbcOkSLl-yAAAE,1012,28,0.0147,45007,40590,128714
1775049746849,kCtNDfGzjn2kbQXlAAAB,0,26,0.0141,43430,68108,0
1775049746863,pUGjlmEbcOkSLl-yAAAE,0,25,0.0147,51320,48213,0
1775049747849,kCtNDfGzjn2kbQXlAAAB,0,19,0.0141,44022,48587,0
1775049747365,pUGjlmEbcOkSLl-yAAAE,0,18,0.0147,44134,52012,0
1775049747864,pUGjlmEbcOkSLl-yAAAE,1040,14,0.0147,29993,57145,128714
1775049748849,kCtNDfGzjn2kbQXlAAAB,1016.9999999999999,19,0.0141,41292,50722,129655
