timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1773677265772,qPg3UMaBJkaT4DI1AAAD,24,0,0.0000,0,0,1446400
1773677264580,yvKRs9mo82m5l8CpAAAB,25,2,0.0000,0,0,1892571
1773677266271,qPg3UMaBJkaT4DI1AAAD,24,7,0.0000,13736,14346,1446400
1773677265079,yvKRs9mo82m5l8CpAAAB,25,2,0.0000,13755,14674,1892571
1773677266771,qPg3UMaBJkaT4DI1AAAD,10,4,0.0000,14683,13447,1446400
1773677265577,yvKRs9mo82m5l8CpAAAB,17,3,0.0000,14563,14241,1892571
1773677267271,qPg3UMaBJkaT4DI1AAAD,10,7,0.0000,15311,14365,1446400
1773677266076,yvKRs9mo82m5l8CpAAAB,17,2,0.0000,15236,14642,1892571
1773677267771,qPg3UMaBJkaT4DI1AAAD,10,6,0.0000,14705,14241,1446400
1773677266578,yvKRs9mo82m5l8CpAAAB,78,2,0.0000,14611,15794,1892571
1773677268271,qPg3UMaBJkaT4DI1AAAD,98,10,0.0000,14709,15879,1446400
1773677267077,yvKRs9mo82m5l8CpAAAB,78,2,0.0000,15001,13556,1892571
1773677268771,qPg3UMaBJkaT4DI1AAAD,98,6,0.0000,13577,14618,1446400
1773677267577,yvKRs9mo82m5l8CpAAAB,78,3,0.0000,14203,14587,1892571
1773677269271,qPg3UMaBJkaT4DI1AAAD,12,10,0.0000,14381,14381,1446400
1773677268078,yvKRs9mo82m5l8CpAAAB,78,2,0.0000,14319,14239,1892571
1773677269772,qPg3UMaBJkaT4DI1AAAD,12,6,0.0000,14242,13234,1446400
1773677268578,yvKRs9mo82m5l8CpAAAB,78,2,0.0000,13276,14625,1892571
1773677270271,qPg3UMaBJkaT4DI1AAAD,15,9,0.0000,14913,14384,1446400
1773677269076,yvKRs9mo82m5l8CpAAAB,11,5,0.0000,15658,15015,1892571
1773677270771,qPg3UMaBJkaT4DI1AAAD,15,5,0.0000,15599,14829,1446400
1773677269577,yvKRs9mo82m5l8CpAAAB,11,4,0.0000,13720,15337,1892571
1773677271271,qPg3UMaBJkaT4DI1AAAD,15,4,0.0000,14540,15421,1446400
1773677270077,yvKRs9mo82m5l8CpAAAB,11,5,0.0000,15360,14431,1892571
1773677271771,qPg3UMaBJkaT4DI1AAAD,15,4,0.0000,13349,14390,1446400
1773677270578,yvKRs9mo82m5l8CpAAAB,11,3,0.0000,14221,13518,1892571
1773677272272,qPg3UMaBJkaT4DI1AAAD,15,3,0.0000,14584,14216,1446400
1773677271078,yvKRs9mo82m5l8CpAAAB,11,7,0.0000,14274,14739,1892571
1773677272772,qPg3UMaBJkaT4DI1AAAD,12,3,0.0000,14905,14537,1446400
1773677271578,yvKRs9mo82m5l8CpAAAB,11,5,0.0000,13824,14722,1892571
1773677273272,qPg3UMaBJkaT4DI1AAAD,12,3,0.0000,15478,13938,1446400
1773677272078,yvKRs9mo82m5l8CpAAAB,12,3,0.0000,15511,14454,1892571
1773677273771,qPg3UMaBJkaT4DI1AAAD,12,2,0.0000,14618,14233,1446400
1773677272577,yvKRs9mo82m5l8CpAAAB,12,3,0.0000,14518,14518,1892571
1773677274271,qPg3UMaBJkaT4DI1AAAD,12,2,0.0000,14303,14496,1446400
1773677273078,yvKRs9mo82m5l8CpAAAB,12,3,0.0000,14252,15243,1892571
1773677274771,qPg3UMaBJkaT4DI1AAAD,12,2,0.0000,14587,15276,1446400
1773677273578,yvKRs9mo82m5l8CpAAAB,12,2,0.0000,14387,14836,1892571
1773677275271,qPg3UMaBJkaT4DI1AAAD,12,3,0.0000,13818,14586,1446400
1773677274077,yvKRs9mo82m5l8CpAAAB,12,2,0.0000,14839,13539,1892571
1773677275781,qPg3UMaBJkaT4DI1AAAD,12,2,0.0000,14021,14461,1446400
1773677274577,yvKRs9mo82m5l8CpAAAB,11,4,0.0000,14490,14554,1892571
1773677276271,qPg3UMaBJkaT4DI1AAAD,12,2,0.0000,15817,13723,1446400
1773677275079,yvKRs9mo82m5l8CpAAAB,11,3,0.0000,14346,14091,1892571
1773677276771,qPg3UMaBJkaT4DI1AAAD,12,5,0.0000,14359,14246,1446400
1773677275576,yvKRs9mo82m5l8CpAAAB,11,3,0.0000,14322,15643,1892571
1773677277271,qPg3UMaBJkaT4DI1AAAD,12,4,0.0000,14718,14253,1446400
1773677276077,yvKRs9mo82m5l8CpAAAB,11,3,0.0000,14492,14844,1892571
1773677277772,qPg3UMaBJkaT4DI1AAAD,12,5,0.0000,11953,14741,1446400
1773677276630,yvKRs9mo82m5l8CpAAAB,11,4,0.0000,14248,3700,1892571
1773677278272,qPg3UMaBJkaT4DI1AAAD,11,7,0.0000,881,15526,1446400
1773677278772,qPg3UMaBJkaT4DI1AAAD,11,7,0.0000,0,14497,1446400
1773677277632,yvKRs9mo82m5l8CpAAAB,11,3,0.0000,14804,439,1892571
1773677279271,qPg3UMaBJkaT4DI1AAAD,11,8,0.0000,1028,14195,1446400
1773677279771,qPg3UMaBJkaT4DI1AAAD,11,8,0.0000,0,13362,1446400
1773677278631,yvKRs9mo82m5l8CpAAAB,11,2,0.0000,13926,514,1892571
1773677280271,qPg3UMaBJkaT4DI1AAAD,11,8,0.0000,1075,14837,1446400
1773677280777,qPg3UMaBJkaT4DI1AAAD,14,8,0.0000,0,14317,1446400
1773677279632,yvKRs9mo82m5l8CpAAAB,11,2,0.0000,14552,536,1892571
1773677281271,qPg3UMaBJkaT4DI1AAAD,14,7,0.0000,1138,14578,1446400
1773677281771,qPg3UMaBJkaT4DI1AAAD,14,7,0.0000,0,15215,1446400
1773677280632,yvKRs9mo82m5l8CpAAAB,19,3,0.0000,14736,561,1892571
1773677282271,qPg3UMaBJkaT4DI1AAAD,14,7,0.0000,1042,14540,1446400
1773677282771,qPg3UMaBJkaT4DI1AAAD,14,7,0.0000,0,14852,1446400
1773677281630,yvKRs9mo82m5l8CpAAAB,19,2,0.0000,14231,522,1892571
1773677283272,qPg3UMaBJkaT4DI1AAAD,12,12,0.0000,929,13374,1446400
1773677283771,qPg3UMaBJkaT4DI1AAAD,12,12,0.0000,0,14488,1446400
1773677282630,yvKRs9mo82m5l8CpAAAB,26,1,0.0000,14370,464,1892571
1773677284271,qPg3UMaBJkaT4DI1AAAD,12,16,0.0000,930,14173,1446400
1773677284771,qPg3UMaBJkaT4DI1AAAD,12,16,0.0000,0,14673,1446400
1773677283634,yvKRs9mo82m5l8CpAAAB,26,8,0.0000,15033,463,1892571
1773677285278,qPg3UMaBJkaT4DI1AAAD,12,15,0.0000,997,15499,1446400
1773677285771,qPg3UMaBJkaT4DI1AAAD,12,15,0.0000,0,14670,1446400
1773677284630,yvKRs9mo82m5l8CpAAAB,26,6,0.0000,14481,506,1892571
1773677286271,qPg3UMaBJkaT4DI1AAAD,12,15,0.0000,914,13307,1446400
1773677286771,qPg3UMaBJkaT4DI1AAAD,12,15,0.0000,0,14369,1446400
1773677285630,yvKRs9mo82m5l8CpAAAB,19,20,0.0000,13489,457,1892571
1773677287271,qPg3UMaBJkaT4DI1AAAD,12,15,0.0000,1027,14765,1446400
1773677287772,qPg3UMaBJkaT4DI1AAAD,12,15,0.0000,0,14513,1446400
1773677286629,yvKRs9mo82m5l8CpAAAB,19,23,0.0000,15061,513,1892571
1773677288271,qPg3UMaBJkaT4DI1AAAD,12,14,0.0000,947,15402,1446400
1773677288771,qPg3UMaBJkaT4DI1AAAD,15,14,0.0000,0,13272,1446400
1773677287632,yvKRs9mo82m5l8CpAAAB,0,5,0.0000,14693,471,0
1773677289271,qPg3UMaBJkaT4DI1AAAD,15,14,0.0000,945,15370,1446400
1773677289771,qPg3UMaBJkaT4DI1AAAD,15,14,0.0000,0,13961,1446400
1773677288630,yvKRs9mo82m5l8CpAAAB,11,4,0.0000,14266,474,1892571
1773677290272,qPg3UMaBJkaT4DI1AAAD,15,13,0.0000,946,14488,1446400
1773677290772,qPg3UMaBJkaT4DI1AAAD,15,13,0.0000,0,14523,1446400
1773677289629,yvKRs9mo82m5l8CpAAAB,11,3,0.0000,14376,473,1892571
1773677291272,qPg3UMaBJkaT4DI1AAAD,15,12,0.0000,930,14193,1446400
1773677291771,qPg3UMaBJkaT4DI1AAAD,11,12,0.0000,0,15572,1446400
1773677290632,yvKRs9mo82m5l8CpAAAB,14,2,0.0000,14997,463,1892571
1773677292271,qPg3UMaBJkaT4DI1AAAD,11,11,0.0000,1058,14861,1446400
