timestamp,clientId,rtt_ms,jitter,loss_rate,recv_bps,send_bps,estimated_bw_bps
1774076415841,i3LmLvhfJnaxbyyGAAAD,232,0,0,0,0,300000
1774076416342,i3LmLvhfJnaxbyyGAAAD,232,5,0.0833,347771,963473,1404733
1774076414163,K5bl690HpmixDMCDAAAB,189,0,0.0000,0,0,300000
1774076416841,i3LmLvhfJnaxbyyGAAAD,163,31,0.3478,397042,1000802,477107
1774076414656,K5bl690HpmixDMCDAAAB,189,17,0.5556,228795,524281,759810
1774076417341,i3LmLvhfJnaxbyyGAAAD,163,31,0.2609,396916,517254,566735
1774076415154,K5bl690HpmixDMCDAAAB,189,19,0.3269,794471,761861,759810
1774076415656,K5bl690HpmixDMCDAAAB,189,19,0.2537,517125,465671,420980
1774076417841,i3LmLvhfJnaxbyyGAAAD,163,52,0.2049,503005,666264,640393
1774076418341,i3LmLvhfJnaxbyyGAAAD,163,50,0.1972,294213,671752,640393
1774076418841,i3LmLvhfJnaxbyyGAAAD,163,50,0.1975,276100,618486,473705
1774076416155,K5bl690HpmixDMCDAAAB,189,19,0.2273,631386,471123,443665
1774076417656,K5bl690HpmixDMCDAAAB,278,167,0.2669,177970,387102,337631
1774076416655,K5bl690HpmixDMCDAAAB,278,90,0.2594,359562,397337,354331
1774076417157,K5bl690HpmixDMCDAAAB,278,167,0.2500,299889,380309,355401
1774076419842,i3LmLvhfJnaxbyyGAAAD,0,244,0.1969,140915,519348,0
1774076419343,i3LmLvhfJnaxbyyGAAAD,163,147,0.2054,295722,482141,324491
1774076420841,i3LmLvhfJnaxbyyGAAAD,934,335,0.2669,172138,433386,200120
1774076420342,i3LmLvhfJnaxbyyGAAAD,934,244,0.2275,141172,470744,324491
1774076421841,i3LmLvhfJnaxbyyGAAAD,934,360,0.2645,227810,415947,125013
1774076421342,i3LmLvhfJnaxbyyGAAAD,934,360,0.2776,287574,396018,125013
1774076422342,i3LmLvhfJnaxbyyGAAAD,0,365,0.2617,300042,372055,0
